dataset	method	lang	lm	instances_log	source_text	reference	audio_yaml	latency_unit
acl_tagged_raw	InfiniSST	de	3	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/de/seg2880/instances.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/audio.yaml	word
acl_tagged_raw	InfiniSST	de	4	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/de/seg3840/instances.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/audio.yaml	word
acl_tagged_raw	RASST	de	1	/mnt/data1/jiaxuanluo/tagged_acl_de_lm3_serial_promptfix_cache30_audioauto_max40lm_20260526T003437_tagged_acl_de_lm1_serial_promptfix_cache30_audioauto_max40lm_taurus/de/dtagacl_de_lm1_serial_promptfix_cache30_audioauto_max40lm_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/audio.yaml	word
acl_tagged_raw	RASST	de	2	/mnt/data1/jiaxuanluo/main_result_rasst_serial_de_ja_cache30_max40lm_20260525T215831_main_result_rasst_serial_de_ja_cache30_max40lm_taurus_retry1/acl_tagged_raw/de_cap16_denoise_ttag_hn1024_tau078_omit_serial_chunks30_max40lm/de/dmainres_acl_serial_de_cap16denoise_ttag_hn1024_tau078_omit_chunks30_max40lm_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/audio.yaml	word
acl_tagged_raw	RASST	de	3	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/acl_de_lm3_cache_sweep_20260528T085204Z/cache20_20/cells/acl_tagged_raw__de__lm3/de/drasst_main_result_acl_tagged_raw_de_lm3_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/audio.yaml	word
acl_tagged_raw	RASST	de	4	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/acl_de_lm4_cache20_probe_20260528T101802Z/cells/acl_tagged_raw__de__lm4/de/drasst_main_result_acl_tagged_raw_de_lm4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_de/audio.yaml	word
acl_tagged_raw	RASST	ja	1	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm1/ja/drasst_main_result_acl_tagged_raw_ja_lm1_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/audio.yaml	char
acl_tagged_raw	RASST	ja	2	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm2/ja/drasst_main_result_acl_tagged_raw_ja_lm2_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/audio.yaml	char
acl_tagged_raw	RASST	ja	3	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm3/ja/drasst_main_result_acl_tagged_raw_ja_lm3_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/audio.yaml	char
acl_tagged_raw	RASST	ja	4	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm4/ja/drasst_main_result_acl_tagged_raw_ja_lm4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_ja/audio.yaml	char
acl_tagged_raw	RASST	zh	1	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm1/zh/drasst_main_result_acl_tagged_raw_zh_lm1_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/audio.yaml	char
acl_tagged_raw	RASST	zh	2	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm2/zh/drasst_main_result_acl_tagged_raw_zh_lm2_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/audio.yaml	char
acl_tagged_raw	RASST	zh	3	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm3/zh/drasst_main_result_acl_tagged_raw_zh_lm3_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/audio.yaml	char
acl_tagged_raw	RASST	zh	4	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm4/zh/drasst_main_result_acl_tagged_raw_zh_lm4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/source_text.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/ref.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/acl_zh/audio.yaml	char
medicine_hardraw	InfiniSST	de	1	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/eso_de_ja_results/de/seg960/instances.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.source_text.en__medicine5_hardraw.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.ref.de__medicine5_hardraw.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.audio__medicine5_hardraw.yaml	word
medicine_hardraw	InfiniSST	de	2	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/eso_de_ja_results/de/seg1920/instances.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.source_text.en__medicine5_hardraw.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.ref.de__medicine5_hardraw.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.audio__medicine5_hardraw.yaml	word
medicine_hardraw	InfiniSST	de	3	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/eso_de_ja_results/de/seg2880/instances.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.source_text.en__medicine5_hardraw.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.ref.de__medicine5_hardraw.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.audio__medicine5_hardraw.yaml	word
medicine_hardraw	InfiniSST	de	4	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/eso_de_ja_results/de/seg3840/instances.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.source_text.en__medicine5_hardraw.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.ref.de__medicine5_hardraw.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.audio__medicine5_hardraw.yaml	word
medicine_hardraw	RASST	de	1	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_de/cells/medicine_hardraw__de__lm1/de/drasst_main_result_medicine_hardraw_de_lm1_lm1_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.source_text.en__medicine5_hardraw.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.ref.de__medicine5_hardraw.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.audio__medicine5_hardraw.yaml	word
medicine_hardraw	RASST	de	2	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_de/cells/medicine_hardraw__de__lm2/de/drasst_main_result_medicine_hardraw_de_lm2_lm2_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.source_text.en__medicine5_hardraw.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.ref.de__medicine5_hardraw.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.audio__medicine5_hardraw.yaml	word
medicine_hardraw	RASST	de	3	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_de/cells/medicine_hardraw__de__lm3/de/drasst_main_result_medicine_hardraw_de_lm3_lm3_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.source_text.en__medicine5_hardraw.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.ref.de__medicine5_hardraw.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.audio__medicine5_hardraw.yaml	word
medicine_hardraw	RASST	de	4	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_de/cells/medicine_hardraw__de__lm4/de/drasst_main_result_medicine_hardraw_de_lm4_lm4_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.source_text.en__medicine5_hardraw.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.ref.de__medicine5_hardraw.txt	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/hf_datasets/rasst-main-result-data/main_result/inputs/medicine_de/medicine.audio__medicine5_hardraw.yaml	word
