term_type	term	languages	gain	loss	both_correct	both_wrong	net_gain_minus_loss
single_word_term	utterance	de,ja,zh	13	1	3	14	12
single_word_term	pretrained	de,ja,zh	12	1	16	4	11
single_word_term	words	de,ja,zh	14	4	18	9	10
single_word_term	token	de,ja,zh	11	1	13	2	10
single_word_term	task	de,ja,zh	10	1	60	2	9
single_word_term	parsing	de,ja,zh	10	2	13	8	8
single_word_term	augmentation	de,ja,zh	7	0	13	2	7
single_word_term	retrieval	de,ja,zh	7	0	5	0	7
single_word_term	training	de,ja,zh	8	2	21	7	6
single_word_term	datasets	de,ja,zh	7	1	12	0	6
single_word_term	annotated	de,ja,zh	6	0	5	9	6
single_word_term	answer	de,ja,zh	6	0	1	14	6
single_word_term	morphemes	de,ja,zh	6	0	16	1	6
single_word_term	multilingual	de,ja,zh	6	0	10	0	6
single_word_term	data	de,ja,zh	7	2	47	2	5
single_word_term	morphological	de,ja,zh	6	1	14	3	5
single_word_term	Semantic	de,ja,zh	6	1	12	8	5
single_word_term	encoding	de,ja,zh	5	0	15	1	5
single_word_term	questions	de,ja,zh	5	0	24	1	5
single_word_term	sentence	de,ja,zh	5	0	10	1	5
single_word_term	encoder	de,ja,zh	6	2	24	1	4
single_word_term	attention	de,ja,zh	5	1	20	1	4
single_word_term	augmented	de,ja,zh	4	0	1	1	4
single_word_term	document	de,ja,zh	4	0	10	1	4
single_word_term	downstream	de,ja,zh	4	0	1	1	4
single_word_term	finetuning	de,ja,zh	4	0	4	1	4
single_word_term	labeled	de,ja,zh	4	0	3	0	4
single_word_term	linguistic	de,ja,zh	4	0	1	0	4
single_word_term	Modeling	de,ja,zh	4	0	4	1	4
single_word_term	spans	de,ja,zh	4	0	2	2	4
single_word_term	speech	de,ja,zh	4	0	0	12	4
single_word_term	weights	de,ja,zh	4	0	2	0	4
single_word_term	Wikipedia	de,ja,zh	4	0	2	0	4
single_word_term	Morphology	de,ja,zh	6	3	8	3	3
single_word_term	contextualized	de,ja,zh	4	1	0	3	3
single_word_term	binary	de,ja,zh	3	0	0	0	3
single_word_term	compositionality	de,ja,zh	3	0	2	1	3
single_word_term	dependency	de,ja,zh	3	0	5	1	3
single_word_term	Online	de,ja,zh	3	0	35	0	3
single_word_term	qualitative	de,ja,zh	3	0	2	1	3
single_word_term	semantically	de,ja,zh	3	0	5	1	3
single_word_term	system	de,ja,zh	3	0	29	1	3
single_word_term	models	de,ja,zh	4	2	71	4	2
single_word_term	approach	de,ja,zh	3	1	17	0	2
single_word_term	evaluation	de,ja,zh	3	1	7	0	2
single_word_term	paper	de,ja,zh	3	1	4	1	2
single_word_term	baselines	de,ja,zh	2	0	13	0	2
single_word_term	context	de,ja,zh	2	0	17	1	2
single_word_term	decoding	de,ja,zh	2	0	1	0	2
single_word_term	Dialogue	de,ja,zh	2	0	4	0	2
single_word_term	domains	de,ja,zh	2	0	1	0	2
single_word_term	encode	de,ja,zh	2	0	3	2	2
single_word_term	English	de,ja,zh	2	0	22	2	2
single_word_term	graphs	de,ja,zh	2	0	4	0	2
single_word_term	learning	de,ja,zh	2	0	4	1	2
single_word_term	parser	de,ja,zh	2	0	25	0	2
single_word_term	predicate	de,ja,zh	2	0	22	0	2
single_word_term	pretraining	de,ja,zh	2	0	1	0	2
single_word_term	query	de,ja,zh	2	0	0	9	2
single_word_term	relations	de,ja,zh	2	0	3	3	2
single_word_term	softmax	de,ja,zh	2	0	2	2	2
single_word_term	source	de,ja,zh	2	0	7	0	2
single_word_term	tagger	de,ja,zh	2	0	0	1	2
single_word_term	tagging	de,ja,zh	2	0	1	0	2
single_word_term	transformers	de,ja,zh	2	0	1	0	2
single_word_term	utterances	ja,zh	2	0	0	0	2
single_word_term	previous	de,ja,zh	3	2	4	4	1
single_word_term	aspect	de,ja,zh	2	1	2	1	1
single_word_term	computation	de,ja,zh	2	1	2	0	1
single_word_term	conversational	de,ja,zh	2	1	0	0	1
single_word_term	Detecting	de,ja,zh	2	1	6	1	1
single_word_term	generalization	de,ja,zh	2	1	5	0	1
single_word_term	information	de,ja,zh	2	1	24	2	1
single_word_term	methods	de,ja,zh	2	1	3	0	1
single_word_term	prediction	de,ja,zh	2	1	16	2	1
single_word_term	ablation	de,ja,zh	1	0	2	0	1
single_word_term	algorithms	de,ja,zh	1	0	2	0	1
single_word_term	annotation	de,ja,zh	1	0	1	1	1
single_word_term	computational	de,ja,zh	1	0	7	1	1
single_word_term	contexts	de,ja,zh	1	0	5	0	1
single_word_term	corpus	de,ja,zh	1	0	10	1	1
single_word_term	dependencies	de,ja,zh	1	0	2	0	1
single_word_term	edit	de,ja,zh	1	0	3	2	1
single_word_term	embedding	de,ja,zh	1	0	3	2	1
single_word_term	languages	de,ja,zh	1	0	40	0	1
single_word_term	metrics	de,ja,zh	1	0	2	0	1
single_word_term	monolingual	de,ja,zh	1	0	2	0	1
single_word_term	newswire	de,ja,zh	1	0	5	3	1
single_word_term	noun	de,ja,zh	1	0	4	1	1
single_word_term	number	de,ja,zh	1	0	0	9	1
single_word_term	parallel	de,ja,zh	1	0	3	1	1
single_word_term	propose	de,ja,zh	1	0	11	3	1
single_word_term	queries	de,zh	1	0	3	4	1
single_word_term	regression	de,ja,zh	1	0	0	5	1
single_word_term	relation	de,ja,zh	1	0	0	2	1
single_word_term	representations	de,ja,zh	1	0	6	1	1
single_word_term	retrieved	de,ja,zh	1	0	2	0	1
single_word_term	sentiment	de,ja,zh	1	0	2	0	1
single_word_term	similarity	de,ja,zh	1	0	2	0	1
single_word_term	summarization	de,ja,zh	1	0	2	0	1
single_word_term	syntax	de,ja,zh	1	0	2	0	1
single_word_term	translation	de,ja,zh	1	0	7	0	1
single_word_term	unsupervised	de,ja,zh	1	0	1	1	1
single_word_term	vectors	de,ja,zh	1	0	5	0	1
single_word_term	vocabulary	de,ja,zh	1	0	4	0	1
single_word_term	model	de,ja,zh	7	7	132	1	0
single_word_term	compared	de,ja,zh	3	3	7	2	0
single_word_term	tasks	de,ja,zh	2	2	19	1	0
single_word_term	word	de,ja,zh	2	2	5	5	0
single_word_term	algorithm	de,ja,zh	1	1	9	0	0
single_word_term	classification	de,ja,zh	1	1	5	0	0
single_word_term	decoder	de,ja,zh	1	1	8	0	0
single_word_term	event	de,ja,zh	1	1	4	2	0
single_word_term	extracting	de,ja,zh	1	1	6	1	0
single_word_term	generalize	de,ja,zh	1	1	0	1	0
single_word_term	generating	de,ja,zh	1	1	10	1	0
single_word_term	language	de,ja,zh	1	1	50	1	0
single_word_term	reasoning	de,ja,zh	1	1	1	0	0
single_word_term	Representation	de,ja,zh	1	1	13	1	0
single_word_term	robustness	de,ja,zh	1	1	1	0	0
single_word_term	sequence	de,ja,zh	1	1	9	1	0
single_word_term	structure	de,ja,zh	1	1	4	0	0
single_word_term	assessing	de,ja,zh	0	0	3	0	0
single_word_term	biases	de,ja,zh	0	0	1	2	0
single_word_term	bidirectional	de,ja,zh	0	0	3	0	0
single_word_term	corpora	de,ja,zh	0	0	2	1	0
single_word_term	correlations	de,ja,zh	0	0	2	1	0
single_word_term	corresponding	de,ja,zh	0	0	4	1	0
single_word_term	entities	de,ja,zh	0	0	3	0	0
single_word_term	features	de,ja,zh	0	0	6	12	0
single_word_term	generation	de,ja,zh	0	0	20	0	0
single_word_term	gradient	de,ja,zh	0	0	4	2	0
single_word_term	grammar	de,ja,zh	0	0	3	0	0
single_word_term	inference	de,ja,zh	0	0	8	0	0
single_word_term	knowledge	ja,zh	0	0	2	0	0
single_word_term	linear	de,ja,zh	0	0	5	0	0
single_word_term	morphologically	de,ja,zh	0	0	5	4	0
single_word_term	news	de,ja,zh	0	0	12	0	0
single_word_term	nouns	de,ja,zh	0	0	3	0	0
single_word_term	oracle	de,ja,zh	0	0	0	3	0
single_word_term	parameter	de,ja,zh	0	0	3	0	0
single_word_term	problem	de,ja,zh	0	0	12	1	0
single_word_term	pronouns	ja,zh	0	0	2	0	0
single_word_term	research	de,ja,zh	0	0	10	0	0
single_word_term	search	de,ja,zh	0	0	3	0	0
single_word_term	sequences	de,ja,zh	0	0	3	0	0
single_word_term	syntactic	de,ja,zh	0	0	3	0	0
single_word_term	systems	de,ja,zh	0	0	3	0	0
single_word_term	target	de,ja,zh	0	0	3	0	0
single_word_term	translations	de,ja,zh	0	0	9	0	0
single_word_term	unseen	de,ja,zh	0	0	2	1	0
single_word_term	vector	de,ja,zh	0	0	4	1	0
single_word_term	verbs	de,ja,zh	0	0	3	0	0
single_word_term	dataset	de,ja,zh	3	4	36	5	-1
single_word_term	method	de,ja,zh	1	2	9	3	-1
single_word_term	resources	de,ja,zh	1	2	2	1	-1
single_word_term	text	de,ja,zh	1	2	37	8	-1
single_word_term	analysis	de,ja,zh	0	1	3	1	-1
single_word_term	annotations	ja,zh	0	1	0	1	-1
single_word_term	automatic	de,ja,zh	0	1	2	0	-1
single_word_term	generated	de,ja,zh	0	1	16	1	-1
single_word_term	heuristic	de,ja,zh	0	1	3	1	-1
single_word_term	linguistics	de,ja,zh	0	1	2	0	-1
single_word_term	nodes	de,ja,zh	0	1	17	0	-1
single_word_term	quality	de,ja,zh	0	1	4	1	-1
single_word_term	texts	de,ja,zh	0	1	5	0	-1
single_word_term	user	de,ja,zh	0	1	32	0	-1
single_word_term	input	de,ja,zh	6	8	40	2	-2
single_word_term	domain	de,ja,zh	1	3	17	0	-2
single_word_term	detection	de,ja,zh	0	2	12	3	-2
single_word_term	predicates	de,ja,zh	0	2	4	0	-2
