dataset	method	lang	lm	BLEU	StreamLAAL	StreamLAAL_CA	TERM_ACC	TERM_CORRECT	TERM_TOTAL	source_type	source_path	event_id	wandb_run_id	status	note
acl_tagged_raw	InfiniSST	ja	4	30.7506	3400.4659	3912.3631	0.6830	642	940	verified_acl6060_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/ja_lm4/eval_results.main.tsv	20260525T2110__analysis__acl_tagged_de_ja_infinisst_baseline_refresh		verified	new ACL6060 tagged raw InfiniSST baseline; BLEU/StreamLAAL/TERM from post-eval of acl6060_de_ja_results instances.log with tagged raw glossary
acl_tagged_raw	InfiniSST	de	1	27.1215	1121.0093	1535.2811	0.6075	568	935	verified_acl6060_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/de_lm1/eval_results.main.tsv	20260525T2110__analysis__acl_tagged_de_ja_infinisst_baseline_refresh		verified	new ACL6060 tagged raw InfiniSST baseline; BLEU/StreamLAAL/TERM from post-eval of acl6060_de_ja_results instances.log with tagged raw glossary
acl_tagged_raw	InfiniSST	de	2	30.2516	1759.0611	2138.9597	0.6759	632	935	verified_acl6060_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/de_lm2/eval_results.main.tsv	20260525T2110__analysis__acl_tagged_de_ja_infinisst_baseline_refresh		verified	new ACL6060 tagged raw InfiniSST baseline; BLEU/StreamLAAL/TERM from post-eval of acl6060_de_ja_results instances.log with tagged raw glossary
acl_tagged_raw	InfiniSST	de	3	31.4666	2390.0315	2830.7192	0.6513	609	935	verified_acl6060_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/de_lm3/eval_results.main.tsv	20260525T2110__analysis__acl_tagged_de_ja_infinisst_baseline_refresh		verified	new ACL6060 tagged raw InfiniSST baseline; BLEU/StreamLAAL/TERM from post-eval of acl6060_de_ja_results instances.log with tagged raw glossary
acl_tagged_raw	InfiniSST	de	4	33.1867	2826.7227	3329.3659	0.6684	625	935	verified_acl6060_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/de_lm4/eval_results.main.tsv	20260525T2110__analysis__acl_tagged_de_ja_infinisst_baseline_refresh		verified	new ACL6060 tagged raw InfiniSST baseline; BLEU/StreamLAAL/TERM from post-eval of acl6060_de_ja_results instances.log with tagged raw glossary
acl_tagged_raw	RASST	de	1	26.4180	1026.3858	1532.6696	0.8107	758	935	verified_global_cache30_30_20_20_reused_cache30_eval_results	/mnt/data1/jiaxuanluo/tagged_acl_de_lm3_serial_promptfix_cache30_audioauto_max40lm_20260526T003437_tagged_acl_de_lm1_serial_promptfix_cache30_audioauto_max40lm_taurus/de/dtagacl_de_lm1_serial_promptfix_cache30_audioauto_max40lm_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	20260526T003437__simuleval__tagged_acl_de_lm1_serial_promptfix_cache30_audioauto_max40lm_taurus		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; reused existing verified ACL-DE lm1 cache30/30 row because it matches the global policy.
acl_tagged_raw	RASST	de	2	31.5758	1666.9229	2414.3860	0.8299	776	935	verified_global_cache30_30_20_20_reused_cache30_eval_results	/mnt/data1/jiaxuanluo/main_result_rasst_serial_de_ja_cache30_max40lm_20260525T215831_main_result_rasst_serial_de_ja_cache30_max40lm_taurus_retry1/acl_tagged_raw/de_cap16_denoise_ttag_hn1024_tau078_omit_serial_chunks30_max40lm/de/dmainres_acl_serial_de_cap16denoise_ttag_hn1024_tau078_omit_chunks30_max40lm_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	20260525T215343__simuleval__main_result_rasst_serial_de_ja_acl_then_medicine_cache30_max40lm_taurus		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; reused existing verified ACL-DE lm2 cache30/30 row because it matches the global policy.
acl_tagged_raw	RASST	de	3	32.5049	2253.8181	3169.7972	0.8481	793	935	verified_global_cache30_30_20_20_acl_de_cache20_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/acl_de_lm3_cache_sweep_20260528T085204Z/cache20_20/cells/acl_tagged_raw__de__lm3/de/drasst_main_result_acl_tagged_raw_de_lm3_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	acl_de_lm3_cache_sweep_20260528T085204Z/cache20_20		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; ACL-DE lm3 verified cache20/20 sweep row.
acl_tagged_raw	RASST	de	4	34.2450	2756.8611	3913.4200	0.8439	789	935	verified_global_cache30_30_20_20_acl_de_cache20_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/acl_de_lm4_cache20_probe_20260528T101802Z/cells/acl_tagged_raw__de__lm4/de/drasst_main_result_acl_tagged_raw_de_lm4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	acl_de_lm4_cache20_probe_20260528T101802Z		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; ACL-DE lm4 verified cache20/20 probe row.
acl_tagged_raw	RASST	ja	1	22.6615	1477.7077	2089.3117	0.8170	768	940	verified_global_cache30_30_20_20_followup_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm1/ja/drasst_main_result_acl_tagged_raw_ja_lm1_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; ACL-JA follow-up array row.
acl_tagged_raw	RASST	ja	2	29.8887	2231.1077	2973.2934	0.8457	795	940	verified_global_cache30_30_20_20_followup_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm2/ja/drasst_main_result_acl_tagged_raw_ja_lm2_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; ACL-JA follow-up array row.
acl_tagged_raw	RASST	ja	3	32.5319	2777.5509	3742.8808	0.8755	823	940	verified_global_cache30_30_20_20_followup_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm3/ja/drasst_main_result_acl_tagged_raw_ja_lm3_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; ACL-JA follow-up array row.
acl_tagged_raw	RASST	ja	4	33.3522	3212.2704	4377.0081	0.8691	817	940	verified_global_cache30_30_20_20_followup_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm4/ja/drasst_main_result_acl_tagged_raw_ja_lm4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; ACL-JA follow-up array row.
acl_tagged_raw	RASST	zh	1	43.8652	1175.7609	1960.0481	0.8865	789	890	verified_global_cache30_30_20_20_zh_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm1/zh/drasst_main_result_acl_tagged_raw_zh_lm1_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; zh cap16-denoise serial rerun from 20260528_zh_new_model_cache30_30_20_20_main_result.tsv
acl_tagged_raw	RASST	zh	2	48.7921	1821.5284	2802.9903	0.8899	792	890	verified_global_cache30_30_20_20_zh_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm2/zh/drasst_main_result_acl_tagged_raw_zh_lm2_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; zh cap16-denoise serial rerun from 20260528_zh_new_model_cache30_30_20_20_main_result.tsv
acl_tagged_raw	RASST	zh	3	50.8150	2347.3252	3274.3450	0.9079	808	890	verified_global_cache30_30_20_20_zh_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm3/zh/drasst_main_result_acl_tagged_raw_zh_lm3_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; zh cap16-denoise serial rerun from 20260528_zh_new_model_cache30_30_20_20_main_result.tsv
acl_tagged_raw	RASST	zh	4	50.7421	2797.5805	3977.7843	0.8989	800	890	verified_global_cache30_30_20_20_zh_eval_results	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm4/zh/drasst_main_result_acl_tagged_raw_zh_lm4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8		verified	global cache policy: lm1,lm2=30/30; lm3,lm4=20/20; given_chunks prompt; k10 tau0.78; empty maps omitted; zh cap16-denoise serial rerun from 20260528_zh_new_model_cache30_30_20_20_main_result.tsv
acl_paper_extracted	Offline ST	zh	NA	49.6625	NA	NA	0.7941	297	374	user_supplied_reusable	user_prompt_2026-05-24			offline_reference	paper-extracted offline row preserved in TSV only
acl_paper_extracted	Offline ST	ja	NA	32.9328	NA	NA	0.7623	202	265	user_supplied_reusable	user_prompt_2026-05-24			offline_reference	paper-extracted offline row preserved in TSV only
acl_paper_extracted	Offline ST	de	NA	35.7641	NA	NA	0.7261	228	314	user_supplied_reusable	user_prompt_2026-05-24			offline_reference	paper-extracted offline row preserved in TSV only
acl_paper_extracted	InfiniSST	zh	1	40.8600	1142	1576	0.7353	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	InfiniSST	zh	2	45.6600	1789	2289	0.7299	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	InfiniSST	zh	3	47.5000	2216	2886	0.7540	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	InfiniSST	zh	4	47.7300	2583	3304	0.7754	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	InfiniSST	ja	1	21.3500	1554	2148	0.6679	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	InfiniSST	ja	2	28.0400	2287	2893	0.6491	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	InfiniSST	ja	3	28.9400	2693	3445	0.7057	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	InfiniSST	ja	4	30.5800	3330	4243	0.7472	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	InfiniSST	de	1	27.2900	1132	1645	0.5732	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	InfiniSST	de	2	30.8900	1829	2464	0.5701	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	InfiniSST	de	3	31.2400	2373	3275	0.6815	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	InfiniSST	de	4	31.4200	2826	3932	0.6561	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	RASST	zh	1	43.3000	1219	1724	0.8075	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	RASST	zh	2	47.5000	1792	2432	0.8930	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	RASST	zh	3	49.0500	2280	3052	0.8556	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	RASST	zh	4	49.0700	2703	3676	0.8930	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	RASST	ja	1	19.1000	1371	2176	0.7208	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	RASST	ja	2	27.3800	2045	2874	0.7660	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	RASST	ja	3	29.3100	2670	3697	0.8075	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	RASST	ja	4	30.8500	3050	4417	0.8226	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	RASST	de	1	28.2900	1108	1743	0.7038	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	RASST	de	2	31.8400	1704	3911	0.7994	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	RASST	de	3	30.1000	2158	3251	0.7134	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
acl_paper_extracted	RASST	de	4	28.8700	2591	3921	0.7580	NA	NA	user_supplied_reusable	user_prompt_2026-05-24			reference_user_supplied	preserved for provenance; not used in new figures
medicine_hardraw	Offline ST	zh	NA	45.5100	NA	NA	0.4301	320	744	offline_llm_parsed	/mnt/data/siqiouyang/runs/infinisst_rag/offline/eso/baseline/zh			offline_reference	offline full-context LLM baseline from Siqi's offline/eso/baseline outputs; plotted as no-latency horizontal reference
medicine_hardraw	Offline + GT terms	zh	NA	47.5850	NA	NA	0.9059	674	744	offline_llm_parsed	/mnt/data/siqiouyang/runs/infinisst_rag/offline/eso/glossary/zh			offline_reference	offline full-context LLM with oracle/GT terms from Siqi's offline/eso/glossary outputs; plotted as oracle-term horizontal reference
medicine_hardraw	Offline ST	de	NA	34.3600	NA	NA	0.4889	351	718	offline_llm_parsed	/mnt/data/siqiouyang/runs/infinisst_rag/offline/eso/baseline/de			offline_reference	offline full-context LLM baseline from Siqi's offline/eso/baseline outputs; plotted as no-latency horizontal reference
medicine_hardraw	Offline + GT terms	de	NA	35.8160	NA	NA	0.8621	619	718	offline_llm_parsed	/mnt/data/siqiouyang/runs/infinisst_rag/offline/eso/glossary/de			offline_reference	offline full-context LLM with oracle/GT terms from Siqi's offline/eso/glossary outputs; plotted as oracle-term horizontal reference
medicine_hardraw	Offline ST	ja	NA	32.1240	NA	NA	0.3220	237	736	offline_llm_parsed	/mnt/data/siqiouyang/runs/infinisst_rag/offline/eso/baseline/ja			offline_reference	offline full-context LLM baseline from Siqi's offline/eso/baseline outputs; plotted as no-latency horizontal reference
medicine_hardraw	Offline + GT terms	ja	NA	34.0710	NA	NA	0.8519	627	736	offline_llm_parsed	/mnt/data/siqiouyang/runs/infinisst_rag/offline/eso/glossary/ja			offline_reference	offline full-context LLM with oracle/GT terms from Siqi's offline/eso/glossary outputs; plotted as oracle-term horizontal reference
medicine_hardraw	InfiniSST	zh	1	27.9415	766.8179	1308.9364	0.4276	316	739	verified_hard_manual_streamlaal	/mnt/gemini/data1/jiaxuanluo/medicine_norag_baseline_abbrev_restored_batched_20260524_zh_lm1_aries01/zh/gigaspeech-zh-s_origin-bsz4_gstrict_fixed_medicine_glossary_abbrev_restored__medicine5_cs0.96_hs0.48_lm1_k210_k110_th0p0/eval_results_streamlaal_term.hard_llm_manual_check.tsv	20260524T0610__simuleval__medicine_norag_abbrev_restored_zh_lm13_lm4no605000_aries		verified	baseline no-RAG hard-manual StreamLAAL/TERM post-eval
medicine_hardraw	InfiniSST	zh	2	37.8511	1509.4274	2024.9701	0.4628	342	739	verified_hard_manual_streamlaal	/mnt/gemini/data1/jiaxuanluo/medicine_norag_baseline_abbrev_restored_batched_20260522/zh/gigaspeech-zh-s_origin-bsz4_gmedicine_gt571_abbrev_restored__medicine5_cs1.92_hs0.48_lm2_k210_k110_th0p0/eval_results_streamlaal_term.hard_llm_manual_check.tsv	20260524T0717__analysis__medicine_zh_hard_manual_lm2_lm4_605000_posteval		verified	baseline no-RAG hard-manual StreamLAAL/TERM post-eval
medicine_hardraw	InfiniSST	zh	3	40.4082	2058.8432	2768.8191	0.4926	364	739	verified_hard_manual_streamlaal	/mnt/gemini/data1/jiaxuanluo/medicine_norag_baseline_abbrev_restored_batched_20260524_zh_lm3_aries67/zh/gigaspeech-zh-s_origin-bsz4_gstrict_fixed_medicine_glossary_abbrev_restored__medicine5_cs2.88_hs0.48_lm3_k210_k110_th0p0/eval_results_streamlaal_term.hard_llm_manual_check.tsv	20260524T0610__simuleval__medicine_norag_abbrev_restored_zh_lm13_lm4no605000_aries		verified	baseline no-RAG hard-manual StreamLAAL/TERM post-eval
medicine_hardraw	InfiniSST	zh	4	41.4557	2470.3306	3648.9152	0.5115	378	739	verified_hard_manual_streamlaal	/mnt/gemini/data1/jiaxuanluo/medicine_norag_baseline_abbrev_restored_batched_20260524_zh_lm4_with605000_from_taurus_orig80/zh/gigaspeech-zh-s_origin-bsz4_gstrict_fixed_medicine_glossary_abbrev_restored__medicine5_cs3.84_hs0.48_lm4_k210_k110_th0p0/eval_results_streamlaal_term.hard_llm_manual_check.tsv	20260524T0717__analysis__medicine_zh_hard_manual_lm2_lm4_605000_posteval		verified	baseline no-RAG hard-manual StreamLAAL/TERM post-eval
medicine_hardraw	InfiniSST	de	1	22.8060	1295.5148	1731.9854	0.4297	278	647	verified_eso_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/de_lm1/eval_results.main.tsv	20260525T1935__analysis__eso_de_ja_infinisst_baseline_main_result_refresh		verified	new ESO InfiniSST baseline; sentence-resegmented BLEU/StreamLAAL/TERM from medicine hardraw post-eval using test.source talk order
medicine_hardraw	InfiniSST	de	2	26.0778	1874.3605	2293.5569	0.5116	331	647	verified_eso_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/de_lm2/eval_results.main.tsv	20260525T1935__analysis__eso_de_ja_infinisst_baseline_main_result_refresh		verified	new ESO InfiniSST baseline; sentence-resegmented BLEU/StreamLAAL/TERM from medicine hardraw post-eval using test.source talk order
medicine_hardraw	InfiniSST	de	3	26.7200	2449.6911	3112.0100	0.5240	339	647	verified_eso_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/de_lm3/eval_results.main.tsv	20260525T1935__analysis__eso_de_ja_infinisst_baseline_main_result_refresh		verified	new ESO InfiniSST baseline; sentence-resegmented BLEU/StreamLAAL/TERM from medicine hardraw post-eval using test.source talk order
medicine_hardraw	InfiniSST	de	4	28.1365	2913.2500	3354.7920	0.5641	365	647	verified_eso_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/de_lm4/eval_results.main.tsv	20260525T1935__analysis__eso_de_ja_infinisst_baseline_main_result_refresh		verified	new ESO InfiniSST baseline; sentence-resegmented BLEU/StreamLAAL/TERM from medicine hardraw post-eval using test.source talk order
medicine_hardraw	InfiniSST	ja	1	19.8868	1576.3450	2010.4034	0.3102	201	648	verified_eso_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/ja_lm1/eval_results.main.tsv	20260525T1935__analysis__eso_de_ja_infinisst_baseline_main_result_refresh		verified	new ESO InfiniSST baseline; sentence-resegmented BLEU/StreamLAAL/TERM from medicine hardraw post-eval using test.source talk order
medicine_hardraw	InfiniSST	ja	2	24.6641	2355.0818	2778.6941	0.3472	225	648	verified_eso_baseline_posteval	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/ja_lm2/eval_results.main.tsv	20260525T1935__analysis__eso_de_ja_infinisst_baseline_main_result_refresh		verified	new ESO InfiniSST baseline; sentence-resegmented BLEU/StreamLAAL/TERM from medicine hardraw post-eval using test.source talk order
