dataset	method	lang	lm	BLEU	MASKED_TERMS_BLEU	DELTA_MASKED_MINUS_BLEU	TERM_ACC	TERM_FCR	FALSE_COPY	NEG_TOTAL	FALSE_COPY_TERMS	MASKED_TERMS_HYP_REMOVED	MASKED_TERMS_REF_REMOVED	MASKED_TERMS_TYPES	instances_log	source_path	status	note
acl_tagged_raw	InfiniSST	de	3	31.4666	30.4183	-1.0483	0.6513	1.000000	5	5	272	679	957	230	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/de/seg2880/instances.log	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/de_lm3/eval_results.main.tsv	ok	
acl_tagged_raw	InfiniSST	de	4	33.1867	31.9432	-1.2435	0.6684	1.000000	5	5	263	685	957	230	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/acl6060_de_ja_results/de/seg3840/instances.log	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_acl6060_de_ja_baseline_posteval/de_lm4/eval_results.main.tsv	ok	
acl_tagged_raw	RASST	de	1	26.4180	24.9360	-1.4820	0.8107	0.148688	51	343	56	927	957	230	/mnt/data1/jiaxuanluo/tagged_acl_de_lm3_serial_promptfix_cache30_audioauto_max40lm_20260526T003437_tagged_acl_de_lm1_serial_promptfix_cache30_audioauto_max40lm_taurus/de/dtagacl_de_lm1_serial_promptfix_cache30_audioauto_max40lm_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/data1/jiaxuanluo/tagged_acl_de_lm3_serial_promptfix_cache30_audioauto_max40lm_20260526T003437_tagged_acl_de_lm1_serial_promptfix_cache30_audioauto_max40lm_taurus/de/dtagacl_de_lm1_serial_promptfix_cache30_audioauto_max40lm_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	ok	
acl_tagged_raw	RASST	de	2	31.5758	29.6852	-1.8906	0.8299	0.119891	44	367	49	911	957	230	/mnt/data1/jiaxuanluo/main_result_rasst_serial_de_ja_cache30_max40lm_20260525T215831_main_result_rasst_serial_de_ja_cache30_max40lm_taurus_retry1/acl_tagged_raw/de_cap16_denoise_ttag_hn1024_tau078_omit_serial_chunks30_max40lm/de/dmainres_acl_serial_de_cap16denoise_ttag_hn1024_tau078_omit_chunks30_max40lm_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/data1/jiaxuanluo/main_result_rasst_serial_de_ja_cache30_max40lm_20260525T215831_main_result_rasst_serial_de_ja_cache30_max40lm_taurus_retry1/acl_tagged_raw/de_cap16_denoise_ttag_hn1024_tau078_omit_serial_chunks30_max40lm/de/dmainres_acl_serial_de_cap16denoise_ttag_hn1024_tau078_omit_chunks30_max40lm_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	ok	
acl_tagged_raw	RASST	de	3	32.5049	30.6110	-1.8939	0.8481	0.105398	41	389	48	910	957	230	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/acl_de_lm3_cache_sweep_20260528T085204Z/cache20_20/cells/acl_tagged_raw__de__lm3/de/drasst_main_result_acl_tagged_raw_de_lm3_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/acl_de_lm3_cache_sweep_20260528T085204Z/cache20_20/cells/acl_tagged_raw__de__lm3/de/drasst_main_result_acl_tagged_raw_de_lm3_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	ok	
acl_tagged_raw	RASST	de	4	34.2450	32.4669	-1.7781	0.8439	0.133501	53	397	57	924	957	230	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/acl_de_lm4_cache20_probe_20260528T101802Z/cells/acl_tagged_raw__de__lm4/de/drasst_main_result_acl_tagged_raw_de_lm4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/acl_de_lm4_cache20_probe_20260528T101802Z/cells/acl_tagged_raw__de__lm4/de/drasst_main_result_acl_tagged_raw_de_lm4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	ok	
acl_tagged_raw	RASST	ja	1	22.6615	19.4429	-3.2186	0.8170	0.255556	69	270	76	1669	1347	201	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm1/ja/drasst_main_result_acl_tagged_raw_ja_lm1_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm1/ja/drasst_main_result_acl_tagged_raw_ja_lm1_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	ok	
acl_tagged_raw	RASST	ja	2	29.8887	26.0339	-3.8548	0.8457	0.146104	45	308	53	1425	1347	201	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm2/ja/drasst_main_result_acl_tagged_raw_ja_lm2_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm2/ja/drasst_main_result_acl_tagged_raw_ja_lm2_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	ok	
acl_tagged_raw	RASST	ja	3	32.5319	27.8079	-4.7240	0.8755	0.148368	50	337	56	1434	1347	201	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm3/ja/drasst_main_result_acl_tagged_raw_ja_lm3_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm3/ja/drasst_main_result_acl_tagged_raw_ja_lm3_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	ok	
acl_tagged_raw	RASST	ja	4	33.3522	28.6547	-4.6975	0.8691	0.129477	47	363	54	1378	1347	201	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm4/ja/drasst_main_result_acl_tagged_raw_ja_lm4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/acl_ja/cells/acl_tagged_raw__ja__lm4/ja/drasst_main_result_acl_tagged_raw_ja_lm4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	ok	
acl_tagged_raw	RASST	zh	1	43.8652	37.7378	-6.1274	0.8865	0.158537	39	246	43	1490	1389	191	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm1/zh/drasst_main_result_acl_tagged_raw_zh_lm1_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm1/zh/drasst_main_result_acl_tagged_raw_zh_lm1_lm1_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	ok	
acl_tagged_raw	RASST	zh	2	48.7921	41.8895	-6.9026	0.8899	0.109929	31	282	33	1408	1389	191	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm2/zh/drasst_main_result_acl_tagged_raw_zh_lm2_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm2/zh/drasst_main_result_acl_tagged_raw_zh_lm2_lm2_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	ok	
acl_tagged_raw	RASST	zh	3	50.8150	44.0373	-6.7777	0.9079	0.059006	19	322	21	1396	1389	191	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm3/zh/drasst_main_result_acl_tagged_raw_zh_lm3_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm3/zh/drasst_main_result_acl_tagged_raw_zh_lm3_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	ok	
acl_tagged_raw	RASST	zh	4	50.7421	43.9574	-6.7847	0.8989	0.082621	29	351	29	1401	1389	191	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm4/zh/drasst_main_result_acl_tagged_raw_zh_lm4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm4/zh/drasst_main_result_acl_tagged_raw_zh_lm4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv	ok	
medicine_hardraw	InfiniSST	zh	1	27.9415	26.8063	-1.1352	0.4276	N/A	N/A	N/A	N/A	1210	860	210	/mnt/gemini/data1/jiaxuanluo/medicine_norag_baseline_abbrev_restored_batched_20260524_zh_lm1_aries01/zh/gigaspeech-zh-s_origin-bsz4_gstrict_fixed_medicine_glossary_abbrev_restored__medicine5_cs0.96_hs0.48_lm1_k210_k110_th0p0/instances.log	/mnt/gemini/data1/jiaxuanluo/medicine_norag_baseline_abbrev_restored_batched_20260524_zh_lm1_aries01/zh/gigaspeech-zh-s_origin-bsz4_gstrict_fixed_medicine_glossary_abbrev_restored__medicine5_cs0.96_hs0.48_lm1_k210_k110_th0p0/eval_results_streamlaal_term.hard_llm_manual_check.tsv	ok	
medicine_hardraw	InfiniSST	zh	2	37.8511	35.9263	-1.9248	0.4628	1.000000	5	5	97	649	860	210	/mnt/gemini/data1/jiaxuanluo/medicine_norag_baseline_abbrev_restored_batched_20260522/zh/gigaspeech-zh-s_origin-bsz4_gmedicine_gt571_abbrev_restored__medicine5_cs1.92_hs0.48_lm2_k210_k110_th0p0/instances.log	/mnt/gemini/data1/jiaxuanluo/medicine_norag_baseline_abbrev_restored_batched_20260522/zh/gigaspeech-zh-s_origin-bsz4_gmedicine_gt571_abbrev_restored__medicine5_cs1.92_hs0.48_lm2_k210_k110_th0p0/eval_results_streamlaal_term.hard_llm_manual_check.tsv	ok	
medicine_hardraw	InfiniSST	zh	3	40.4082	38.3483	-2.0599	0.4926	N/A	N/A	N/A	N/A	666	860	210	/mnt/gemini/data1/jiaxuanluo/medicine_norag_baseline_abbrev_restored_batched_20260524_zh_lm3_aries67/zh/gigaspeech-zh-s_origin-bsz4_gstrict_fixed_medicine_glossary_abbrev_restored__medicine5_cs2.88_hs0.48_lm3_k210_k110_th0p0/instances.log	/mnt/gemini/data1/jiaxuanluo/medicine_norag_baseline_abbrev_restored_batched_20260524_zh_lm3_aries67/zh/gigaspeech-zh-s_origin-bsz4_gstrict_fixed_medicine_glossary_abbrev_restored__medicine5_cs2.88_hs0.48_lm3_k210_k110_th0p0/eval_results_streamlaal_term.hard_llm_manual_check.tsv	ok	
medicine_hardraw	InfiniSST	zh	4	41.4557	39.2708	-2.1849	0.5115	1.000000	5	5	116	649	860	210	/mnt/gemini/data1/jiaxuanluo/medicine_norag_baseline_abbrev_restored_batched_20260524_zh_lm4_with605000_from_taurus_orig80/zh/gigaspeech-zh-s_origin-bsz4_gstrict_fixed_medicine_glossary_abbrev_restored__medicine5_cs3.84_hs0.48_lm4_k210_k110_th0p0/instances.log	/mnt/gemini/data1/jiaxuanluo/medicine_norag_baseline_abbrev_restored_batched_20260524_zh_lm4_with605000_from_taurus_orig80/zh/gigaspeech-zh-s_origin-bsz4_gstrict_fixed_medicine_glossary_abbrev_restored__medicine5_cs3.84_hs0.48_lm4_k210_k110_th0p0/eval_results_streamlaal_term.hard_llm_manual_check.tsv	ok	
medicine_hardraw	InfiniSST	de	1	22.8060	22.8698	+0.0638	0.4297	1.000000	5	5	91	355	655	211	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/eso_de_ja_results/de/seg960/instances.log	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/de_lm1/eval_results.main.tsv	ok	
medicine_hardraw	InfiniSST	de	2	26.0778	26.1085	+0.0307	0.5116	1.000000	5	5	101	433	655	211	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/eso_de_ja_results/de/seg1920/instances.log	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/de_lm2/eval_results.main.tsv	ok	
medicine_hardraw	InfiniSST	de	3	26.7200	26.7145	-0.0055	0.5240	1.000000	5	5	102	462	655	211	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/eso_de_ja_results/de/seg2880/instances.log	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/de_lm3/eval_results.main.tsv	ok	
medicine_hardraw	InfiniSST	de	4	28.1365	28.1049	-0.0316	0.5641	1.000000	5	5	107	434	655	211	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/eso_de_ja_results/de/seg3840/instances.log	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/de_lm4/eval_results.main.tsv	ok	
medicine_hardraw	InfiniSST	ja	1	19.8868	18.9874	-0.8994	0.3102	1.000000	5	5	82	397	869	210	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/eso_de_ja_results/ja/seg960/instances.log	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/ja_lm1/eval_results.main.tsv	ok	
medicine_hardraw	InfiniSST	ja	2	24.6641	23.5100	-1.1541	0.3472	1.000000	5	5	82	435	869	210	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/eso_de_ja_results/ja/seg1920/instances.log	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/ja_lm2/eval_results.main.tsv	ok	
medicine_hardraw	InfiniSST	ja	3	25.1361	23.8125	-1.3236	0.4198	1.000000	5	5	89	486	869	210	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/eso_de_ja_results/ja/seg2880/instances.log	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/ja_lm3/eval_results.main.tsv	ok	
medicine_hardraw	InfiniSST	ja	4	26.6835	25.3950	-1.2885	0.4028	1.000000	5	5	88	459	869	210	/home/jiaxuanluo/InfiniSST/documents/code/train/term_train/reports/figures/eso_de_ja_results/ja/seg3840/instances.log	/home/jiaxuanluo/InfiniSST/documents/code/simuleval/reports/20260525_eso_de_ja_baseline_posteval/ja_lm4/eval_results.main.tsv	ok	
medicine_hardraw	RASST	zh	1	32.1943	30.5931	-1.6012	0.8024	0.303438	203	669	227	1303	860	210	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_medicine_serial_cache30_20_givenchunks_fix_aries_retry_20260528T130625Z/zh_new_model_medicine_serial_cache30_20_givenchunks_fix_aries_retry/cells/medicine_hardraw__zh__lm1/zh/drasst_main_result_medicine_hardraw_zh_lm1_lm1_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_medicine_serial_cache30_20_givenchunks_fix_aries_retry_20260528T130625Z/zh_new_model_medicine_serial_cache30_20_givenchunks_fix_aries_retry/cells/medicine_hardraw__zh__lm1/zh/drasst_main_result_medicine_hardraw_zh_lm1_lm1_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv	ok	
medicine_hardraw	RASST	zh	2	40.7642	39.0263	-1.7379	0.8262	0.214900	150	698	165	1108	860	210	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_medicine_serial_cache30_20_givenchunks_fix_aries_retry_20260528T130625Z/zh_new_model_medicine_serial_cache30_20_givenchunks_fix_aries_retry/cells/medicine_hardraw__zh__lm2/zh/drasst_main_result_medicine_hardraw_zh_lm2_lm2_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_medicine_serial_cache30_20_givenchunks_fix_aries_retry_20260528T130625Z/zh_new_model_medicine_serial_cache30_20_givenchunks_fix_aries_retry/cells/medicine_hardraw__zh__lm2/zh/drasst_main_result_medicine_hardraw_zh_lm2_lm2_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv	ok	
medicine_hardraw	RASST	zh	3	42.4881	40.6300	-1.8581	0.8380	0.192513	144	748	159	1085	860	210	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_medicine_serial_cache30_20_givenchunks_fix_aries_retry_20260528T130625Z/zh_new_model_medicine_serial_cache30_20_givenchunks_fix_aries_retry/cells/medicine_hardraw__zh__lm3/zh/drasst_main_result_medicine_hardraw_zh_lm3_lm3_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_medicine_serial_cache30_20_givenchunks_fix_aries_retry_20260528T130625Z/zh_new_model_medicine_serial_cache30_20_givenchunks_fix_aries_retry/cells/medicine_hardraw__zh__lm3/zh/drasst_main_result_medicine_hardraw_zh_lm3_lm3_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv	ok	
medicine_hardraw	RASST	zh	4	44.7022	41.8591	-2.8431	0.8440	0.176980	143	808	154	1071	860	210	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_medicine_serial_cache30_20_givenchunks_fix_aries_retry_20260528T130625Z/zh_new_model_medicine_serial_cache30_20_givenchunks_fix_aries_retry/cells/medicine_hardraw__zh__lm4/zh/drasst_main_result_medicine_hardraw_zh_lm4_lm4_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_medicine_serial_cache30_20_givenchunks_fix_aries_retry_20260528T130625Z/zh_new_model_medicine_serial_cache30_20_givenchunks_fix_aries_retry/cells/medicine_hardraw__zh__lm4/zh/drasst_main_result_medicine_hardraw_zh_lm4_lm4_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv	ok	
medicine_hardraw	RASST	de	1	22.6187	22.3654	-0.2533	0.7264	0.115031	75	652	77	661	655	211	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_de/cells/medicine_hardraw__de__lm1/de/drasst_main_result_medicine_hardraw_de_lm1_lm1_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_de/cells/medicine_hardraw__de__lm1/de/drasst_main_result_medicine_hardraw_de_lm1_lm1_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv	ok	
medicine_hardraw	RASST	de	2	26.7696	26.3115	-0.4581	0.7821	0.094891	65	685	65	739	655	211	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_de/cells/medicine_hardraw__de__lm2/de/drasst_main_result_medicine_hardraw_de_lm2_lm2_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_de/cells/medicine_hardraw__de__lm2/de/drasst_main_result_medicine_hardraw_de_lm2_lm2_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv	ok	
medicine_hardraw	RASST	de	3	27.3676	26.8689	-0.4987	0.8161	0.093496	69	738	72	729	655	211	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_de/cells/medicine_hardraw__de__lm3/de/drasst_main_result_medicine_hardraw_de_lm3_lm3_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/instances.strip_term.log	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_de/cells/medicine_hardraw__de__lm3/de/drasst_main_result_medicine_hardraw_de_lm3_lm3_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv	ok	
