dataset	lang	lm	BLEU	InfiniSST_BLEU	delta_BLEU_vs_InfiniSST	paper_RASST_BLEU	delta_BLEU_vs_paper_RASST	TERM_ACC	InfiniSST_TERM_ACC	delta_TERM_ACC_vs_InfiniSST	paper_RASST_TERM_ACC	delta_TERM_ACC_vs_paper_RASST	source_path
acl_tagged_raw	zh	3	50.8150	46.7119	+4.1031	50.1545	+0.6605	0.9079	0.7675	+0.1404	0.8989	+0.0090	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm3/zh/drasst_main_result_acl_tagged_raw_zh_lm3_lm3_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
acl_tagged_raw	zh	4	50.7421	47.3897	+3.3524	50.8145	-0.0724	0.8989	0.7754	+0.1235	0.9000	-0.0011	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8_20260528T114706Z/zh_new_model_2domain_serial_cache30_20_givenchunks_fix_aries_cpus8/cells/acl_tagged_raw__zh__lm4/zh/drasst_main_result_acl_tagged_raw_zh_lm4_lm4_k10_th0.78_gacl6060_tagged_gt_raw_min_norm2/eval_results.tsv
medicine_hardraw	de	1	22.6187	22.8060	-0.1873	22.6187	+0.0000	0.7264	0.4297	+0.2967	0.7264	+0.0000	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_de/cells/medicine_hardraw__de__lm1/de/drasst_main_result_medicine_hardraw_de_lm1_lm1_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv
medicine_hardraw	de	2	26.7696	26.0778	+0.6918	26.7696	+0.0000	0.7821	0.5116	+0.2705	0.7821	+0.0000	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_de/cells/medicine_hardraw__de__lm2/de/drasst_main_result_medicine_hardraw_de_lm2_lm2_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv
medicine_hardraw	de	3	27.3676	26.7200	+0.6476	26.9742	+0.3934	0.8161	0.5240	+0.2921	0.8362	-0.0201	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_de/cells/medicine_hardraw__de__lm3/de/drasst_main_result_medicine_hardraw_de_lm3_lm3_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv
medicine_hardraw	de	4	27.9246	28.1365	-0.2119	28.9154	-0.9908	0.8207	0.5641	+0.2566	0.8238	-0.0031	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_de/cells/medicine_hardraw__de__lm4/de/drasst_main_result_medicine_hardraw_de_lm4_lm4_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv
medicine_hardraw	ja	1	19.3213	19.8868	-0.5655	19.3213	+0.0000	0.7515	0.3102	+0.4413	0.7515	+0.0000	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_ja/cells/medicine_hardraw__ja__lm1/ja/drasst_main_result_medicine_hardraw_ja_lm1_lm1_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv
medicine_hardraw	ja	2	25.1412	24.6641	+0.4771	25.1412	+0.0000	0.8086	0.3472	+0.4614	0.8086	+0.0000	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_ja/cells/medicine_hardraw__ja__lm2/ja/drasst_main_result_medicine_hardraw_ja_lm2_lm2_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv
medicine_hardraw	ja	3	27.3388	25.1361	+2.2027	26.8288	+0.5100	0.8318	0.4198	+0.4120	0.8380	-0.0062	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_ja/cells/medicine_hardraw__ja__lm3/ja/drasst_main_result_medicine_hardraw_ja_lm3_lm3_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv
medicine_hardraw	ja	4	29.9012	26.6835	+3.2177	28.6781	+1.2231	0.8503	0.4028	+0.4475	0.8349	+0.0154	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/cache30_30_20_20_followup_after_acl_de_20260528T1142Z/medicine_ja/cells/medicine_hardraw__ja__lm4/ja/drasst_main_result_medicine_hardraw_ja_lm4_lm4_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv
medicine_hardraw	zh	1	32.1943	27.9415	+4.2528	33.4005	-1.2062	0.8024	0.4276	+0.3748	0.7905	+0.0119	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_medicine_serial_cache30_20_givenchunks_fix_aries_retry_20260528T130625Z/zh_new_model_medicine_serial_cache30_20_givenchunks_fix_aries_retry/cells/medicine_hardraw__zh__lm1/zh/drasst_main_result_medicine_hardraw_zh_lm1_lm1_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv
medicine_hardraw	zh	2	40.7642	37.8511	+2.9131	41.2805	-0.5163	0.8262	0.4628	+0.3634	0.8336	-0.0074	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_medicine_serial_cache30_20_givenchunks_fix_aries_retry_20260528T130625Z/zh_new_model_medicine_serial_cache30_20_givenchunks_fix_aries_retry/cells/medicine_hardraw__zh__lm2/zh/drasst_main_result_medicine_hardraw_zh_lm2_lm2_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv
medicine_hardraw	zh	3	42.4881	40.4082	+2.0799	43.0605	-0.5724	0.8380	0.4926	+0.3454	0.8470	-0.0090	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_medicine_serial_cache30_20_givenchunks_fix_aries_retry_20260528T130625Z/zh_new_model_medicine_serial_cache30_20_givenchunks_fix_aries_retry/cells/medicine_hardraw__zh__lm3/zh/drasst_main_result_medicine_hardraw_zh_lm3_lm3_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv
medicine_hardraw	zh	4	44.7022	41.4557	+3.2465	44.3591	+0.3431	0.8440	0.5115	+0.3325	0.8514	-0.0074	/mnt/taurus/data2/jiaxuanluo/RASST_release_runs/zh_cap16_denoise_medicine_serial_cache30_20_givenchunks_fix_aries_retry_20260528T130625Z/zh_new_model_medicine_serial_cache30_20_givenchunks_fix_aries_retry/cells/medicine_hardraw__zh__lm4/zh/drasst_main_result_medicine_hardraw_zh_lm4_lm4_k10_th0.78_ghard_medicine_glossary_raw_llm_judge_manual_zh215_unique212/eval_results.tsv
