run_key	lm	sentence_index	paper_id	speaker_id	start_sec	end_sec	source	reference	hypothesis	sentence_chrf	term_map_count	gold_term_count	gold_retrieved_count	source_supported_retrieved_count	noise_retrieved_count	noise_false_copied	term_map
newv9_none_block	1	11	2022.acl-long.268	NA	91.044	94.934	The borrowings will comply with the grammar of the recipient language.	Die Entlehnungen werden der Grammatik der Empfängersprache angepasst.	Die Entlehnungen werden der Grammatik der empfangenden Sprache entsprechen. Und	91.304	4	1	1	2	2		monolingual->einsprachiges@0.835; grammar->Grammatik@0.958; language->Sprache@0.919; languages->Sprachen@0.798
newv9_none_block	1	12	2022.acl-long.268	NA	95.014	98.838	And borrowings can eventually be integrated into the recipient language.	Entlehnungen können Schritt für Schritt in die Empfängersprache integriert werden.	Entlehnungen k önnen schließlich in die empfangende Sprache integriert werden.	84.146	2	0	0	1	1		language->Sprache@0.919; languages->Sprachen@0.802
newv9_none_block	1	13	2022.acl-long.268	NA	100.503	102.869	So why is borrowing an interesting phenomenon?	Warum ist Entlehnen so ein interessantes Phänomen?	Warum ist Entlehnung ein interessantes Phänomen?	92.000	1	0	0	0	1		language->Sprache@0.789
newv9_none_block	1	14	2022.acl-long.268	NA	102.909	109.968	Well, from the point of view of linguistics, borrowing is a manifestation of of how languages change and how they interact.	Aus Sicht der Linguistik ist die Entlehnung eine Manifestation dessen, wie sich Sprachen verändern und wie sie interagieren.	Nun , aus der Sicht der Linguistik ist Entlehnung eine Manifestation davon, wie Sprachen sich verändern und miteinander interagieren.	93.548	4	2	2	2	2		linguistics->Linguistik@0.960; linguistic->sprachlichen@0.922; languages->Sprachen@0.930; language->Sprache@0.900
newv9_none_block	1	15	2022.acl-long.268	NA	110.290	113.836	And also lexical borrowings are a source of new words.	Auch lexikalische Entlehnungen sind eine Quelle für neue Wörter.	Und auch lexikalische Entlehnungen sind eine Quelle für neue Wörtern.	98.438	3	2	2	3	0		lexical->lexikalische@0.828; source->Quelle@0.924; words->Wörtern@0.896
newv9_none_block	1	16	2022.acl-long.268	NA	113.916	120.287	Here you have some examples of lexical borrowings that have been incorporated into the Spanish language as new words.	Hier finden Sie einige Beispiele für lexikalische Entlehnungen, die als neue Wörter in die spanische Sprache aufgenommen wurden.	Hier haben Sie einige Beispiele für lexikalische Entlehnungen, die in die spanische Sprache aufgenommen wurden	84.375	5	2	2	3	2		words->Wörtern@0.930; source->Quelle@0.849; lexical->lexikalische@0.881; language->Sprache@0.893; word->Wort@0.805
newv9_none_block	1	17	2022.acl-long.268	NA	120.909	126.023	In terms of NLP ah borrowings are a common source of out-of-vocabulary words.	Beim NLP sind Entlehnungen eine häufige Quelle von Wörtern, die nicht im Wortschatz enthalten sind.	und als neue Wörtern verwendet werden. Was NLP betrifft, Ah Entlehnungen sind eine Quelle f ür Wörtern, die außerhalb des Wortschatz liegen ,	89.899	6	4	4	4	2		words->Wörtern@0.941; word->Wort@0.833; NLP->NLP@0.943; NLP task->NLP-Aufgabe@0.796; source->Quelle@0.944; vocabulary->Wortschatz@0.868
newv9_none_block	1	18	2022.acl-long.268	NA	126.385	136.232	And in fact, automatically detecting lexical borrowings ah has proven to be useful for NLP downstream tasks such as parsing, text-to-speech synthesis or machine translation.	Die automatische Erkennung lexikalischer Entlehnungen erwies sich als nützlich für NLP und nachgelagerte Aufgaben wie Parsing, Text-zu-Sprache-Synthesen oder die maschinelle Übersetzung.	und tatsächlich automatisch die lexikalische Entlehnungen zu erkennen, hat sich als nützlich erwiesen für NLP-Aufgaben wie Parsing, Textklassifikation oder maschinelle Übersetzung.	88.710	16	10	8	8	8	NLP task->NLP-Aufgabe@0.833	words->Wörtern@0.941; word->Wort@0.833; vocabulary->Wortschatz@0.794; Detecting->Erkennung@0.931; lexical->lexikalische@0.822; NLP->NLP@0.931; NLP task->NLP-Aufgabe@0.833; task->Aufgabe@0.931; tasks->Aufgaben@0.903; downstream->nachgelagerte@0.808; parsing->Parsing@0.941; machine translation->maschinelle Übersetzung@0.901; generalization->Verallgemeinerung@0.825; question generation->Fragengenerierung@0.817; machine learning->maschinelles Lernen@0.788; translation->Übersetzung@0.781
newv9_none_block	1	19	2022.acl-long.268	NA	137.294	149.049	There has been a growing interest in the influence of English on other languages ah particularly ah related to English lexical borrowings, borrowings which sometimes have been called Anglicisms.	Der Einfluss des Englischen auf andere Sprachen erfährt immer stärkeres Interesse, insbesondere bei englischen lexikalischen Entlehnungen. Diese werden manchmal auch als Anglizismen bezeichnet.	Es hat eine wachsende Interesse an der Einflussnahme des Englischen auf andere Sprachen gegeben , insbesondere in Bezug auf lexikalische Entlehnungen aus dem Englischen. Manchmal werden sie als Anglismen bezeichnet,	92.746	4	3	3	3	1		English->Englischen@0.950; languages->Sprachen@0.939; language->Sprache@0.844; lexical->lexikalische@0.853
newv9_none_block	1	20	2022.acl-long.268	NA	149.050	155.967	And here, you have some examples of ah work on automatic detection of borrowings in ah some of these languages.	Hier sind einige Beispiele von Arbeiten zur automatischen Erkennung von Entlehnungen in einigen dieser Sprachen.	und hier haben Sie einige Beispiele für automatische Erkennung von Entlehnungen in einigen dieser Sprachen.	90.179	5	3	3	3	2		detection->Erkennung@0.937; automatic->automatischen@0.869; Detecting->Erkennung@0.789; languages->Sprachen@0.936; language->Sprache@0.873
newv9_none_block	1	21	2022.acl-long.268	NA	156.969	163.919	So the task that we propose is to detect unassimilated lexical borrowings in Spanish newswire.	Die Aufgabe, die wir vorschlagen, besteht also darin, nicht-assimilierte lexikalische Entlehnungen in spanischen Nachrichten zu erkennen.	Daher ist die Aufgabe, die wir vorschlagen , die Erkennung und lexikalische Entlehnungen in spanischen Nachrichten zu sein.	83.942	7	3	3	4	3		languages->Sprachen@0.919; language->Sprache@0.824; task->Aufgabe@0.967; tasks->Aufgaben@0.895; propose->vorzuschlagen@0.934; lexical->lexikalische@0.848; newswire->Nachrichten@0.842
newv9_none_block	1	22	2022.acl-long.268	NA	164.060	176.534	Which means that we are interested in extracting ah words borrowed from other languages that are being used in Spanish newspapers but that have not been integrated or assimilated into the recipient language.	Wir sind daran interessiert, aus anderen Sprachen entlehnte Wörter zu extrahieren, die in spanischen Zeitungen verwendet werden, aber nicht in die Empfängersprache integriert oder assimiliert wurden.	Das bedeutet, dass wir daran interessiert sind, Wörter zu extrahieren, die aus anderen Sprachen stammen, die in spanischen Zeitungen verwendet werden, aber noch nicht integriert oder assimiliert wurden	91.960	6	3	3	4	2		newswire->Nachrichten@0.892; extracting->extrahieren@0.944; words->Wörtern@0.927; word->Wort@0.836; languages->Sprachen@0.948; language->Sprache@0.916
newv9_none_block	1	23	2022.acl-long.268	NA	176.554	179.556	So not yet integrated into Spanish.	Sie wurden also noch nicht ins Spanische integriert.	in die Empfangssprache, also nicht noch integriert in die spanische Sprache.	94.231	3	0	0	0	3	language->Sprache@0.916	language->Sprache@0.916; languages->Sprachen@0.801; AI->KI@0.782
newv9_none_block	1	24	2022.acl-long.268	NA	179.577	181.238	Here you have an example.	Hier ist ein Beispiel.	Hier haben Sie ein Beispiel.	90.909	1	0	0	0	1		AI->KI@0.782
newv9_none_block	1	25	2022.acl-long.268	NA	181.441	188.137	This is a sentence in Spanish: Las prendas bestsellers se estampan con motivos florales, animal print o retales tipo patchwork.	Dies ist ein Satz auf Spanisch: Las prendas bestsellers se estampan con motivos florales, animal print o retales tipo patchwork.	Ah, dies ist ein Satz auf Spanisch , wie Brenda Sessler, die als mehrfache Tierdrucke oder Patchwork-Stile gedruckt werden , und	69.531	1	1	1	1	0		sentence->Satz@0.970
newv9_none_block	1	26	2022.acl-long.268	NA	188.560	195.897	Um, and as you can see, there are three spans of texts which are actually English words like bestseller, animal print and patchwork.	Wie Sie sehen können, sind hier drei Textpassagen, die eigentlich englische Wörter sind: Bestseller, Animal Print und Patchwork.	wie Sie sehen können, gibt es drei Passagen, die tatsächlich aus dem Englischen stammen , wie zum Beispiel „bestseller“, „animal print“ und „patchwork“.	89.844	6	1	1	4	2		spans->Passagen@0.954; texts->Text@0.899; text->Text@0.875; English->Englischen@0.896; words->Wörtern@0.942; word->Wort@0.856
newv9_none_block	1	27	2022.acl-long.268	NA	195.977	200.733	These are the type of spans that we are interested in extracting and detecting.	Bei diesen Passagen wollen wir extrahieren und erkennen.	Das sind die Passagen, die uns interessieren , zu extrahieren und zu erkennen.	89.286	4	2	2	3	1		spans->Passagen@0.961; extracting->extrahieren@0.930; Detecting->Erkennung@0.951; tagging->Tagging@0.791
newv9_none_block	1	28	2022.acl-long.268	NA	202.014	212.026	There has been previous word on Anglicism detection ah which consists consisted of a CRF model for Anglicism detection on Spanish Newswire.	Es gab früher schon Arbeiten über die Erkennung von Anglizismen. Diese beschäftigten sich mit einem CRF-Modell für die Erkennung von Anglizismen in spanischen Nachrichten.	Es gab früheren Arbeiten zur Erkennung von Anglismen, die aus einem CRF-Modell für Anglismenerkennung auf spanischem Nachrichtenbestand .	76.023	8	4	4	6	2		Detecting->Erkennung@0.866; word->Wort@0.937; words->Wörtern@0.850; previous->früheren@0.807; detection->Erkennung@0.933; CRF->CRF@0.925; model->Modell@0.859; newswire->Nachrichten@0.820
newv9_none_block	1	29	2022.acl-long.268	NA	212.468	214.712	This model achieved an F1 score of eighty six.	Dieses Modell erreichte einen F1-Score von 86.	Dieses Modell erreichte eine F-Eins -Score von achtzig	91.304	2	1	1	1	1		model->Modell@0.953; newswire->Nachrichten@0.848
newv9_none_block	1	30	2022.acl-long.268	NA	214.732	220.377	But there were some limitations both um in the dataset and the modeling approach.	Es gab jedoch einige Einschränkungen sowohl beim Datensatz als auch beim Modellierungsansatz.	sechs, es gab jedoch einige Einschränkungen sowohl in dem Datensatz als auch im Modellierungsansatz,	95.699	7	2	2	3	4		dataset->Datensatz@0.945; model->Modell@0.921; data->Daten@0.822; datasets->Datensätzen@0.817; models->Modelle@0.798; Modeling->Modellierung@0.931; approach->Ansatz@0.895
newv9_none_block	1	31	2022.acl-long.268	NA	220.417	226.488	So the dataset focused exclusively on one source of news, consisted only of headlines.	Der Datensatz konzentrierte sich also ausschließlich auf eine Quelle von den Nachrichten und bestand nur aus Schlagzeilen.	sodass der Datensatz sich auf ausschließlich eine Quelle von Nachrichten konzentrierte , bestand ausschließlich aus Schlagzeilen	93.443	7	3	3	3	4		Modeling->Modellierung@0.931; approach->Ansatz@0.895; data->Daten@0.843; dataset->Datensatz@0.963; datasets->Datensätzen@0.859; news->Nachrichten@0.961; source->Quelle@0.933
newv9_none_block	1	32	2022.acl-long.268	NA	226.549	231.757	And also there was an overlap in the borrowings that appear in the training set and the test set.	Außerdem gab es Überschneidungen bei den Entlehnungen, die im Trainingssatz und im Testsatz vorkommen.	und außerdem gab es eine Überlappung bei den Entlehnungen, die im Trainingssatz und im Testset auftauchten.	90.196	3	1	1	1	2		training->Trainingssatz@0.946; pretraining->Vortraining@0.796; pre-training->Vortrainings@0.787
newv9_none_block	1	33	2022.acl-long.268	NA	231.897	238.753	This prevented the assessment of whether the modeling approach could actually generalize to previously unseen borrowings.	Dadurch konnte nicht beurteilt werden, ob der Modellierungsansatz tatsächlich auf zuvor unbekannte Entlehnungen verallgemeinert werden kann.	Daher wurde die Bewertung des Modellierungsansatzes daran gehindert, ob dieser tatsächlich auf früheren Entlehnungen generalisieren könnte. Ah,	84.286	4	3	2	3	1	previous->früheren@0.800	Modeling->Modellierung@0.955; approach->Ansatz@0.940; generalize->verallgemeinert@0.927; previous->früheren@0.800
newv9_none_block	1	34	2022.acl-long.268	NA	239.274	244.697	So what we aim is to tackle some of these limitations in the task.	Unser Ziel ist es also, einige dieser Einschränkungen in der Aufgabe zu überwinden.	was wir anstreben, ist , einige dieser Einschränkungen in der Aufgabe zu überwinden.	91.566	2	1	1	1	1		task->Aufgabe@0.963; tasks->Aufgaben@0.906
newv9_none_block	1	35	2022.acl-long.268	NA	245.618	248.121	So to begin we, to begin with, we created a new dataset.	Zu Beginn haben wir also einen neuen Datensatz erstellt.	Um zu beginnen, erstellten wir einen neuen Datensatz, der	83.929	2	1	0	0	2		task->Aufgabe@0.963; tasks->Aufgaben@0.900
newv9_none_block	1	36	2022.acl-long.268	NA	248.122	259.084	Ah the aim at a new dataset that was annotated with lexical borrowings and the aim was to create a test set that was as difficult as possible.	Das Ziel war ein neuer Datensatz, der mit lexikalischen Entlehnungen annotiert wurde, und einen möglichst schwierigen Testsatz zu erstellen.	Ziel dieses neuen Datensatzes war , lexikalisch annotiert mit lexikalischen Entlehnungen und das Ziel bestand darin, einen Testdatensatz zu erstellen,	90.000	5	3	3	3	2		dataset->Datensatz@0.953; data->Daten@0.861; datasets->Datensätzen@0.847; annotated->annotiert@0.904; lexical->lexikalische@0.802
newv9_none_block	1	37	2022.acl-long.268	NA	259.205	264.737	So there would be minimal overlap in words and topics between the training set and test set.	Es gäbe also minimale Überschneidungen bei Wörtern und Themen zwischen dem Trainingssatz und dem Testsatz.	der so schwierig wie möglich war , sodass es nur geringe Überschneidungen bei Wörtern und Themen gab. Ah, zwischen dem Trainingssatz und dem Testdatensatz	96.226	3	2	2	2	1		words->Wörtern@0.947; word->Wort@0.864; training->Trainingssatz@0.905
newv9_none_block	1	38	2022.acl-long.268	NA	264.758	271.277	And as a result, well, the test set comes from sources and dates that we're not seeing in the training set.	Das Ergebnis ist, dass der Testsatz aus Quellen und Daten stammt, die wir nicht im Trainingssatz sehen.	, und als Ergebnis besteht der Testdatensatz aus Quellen und Daten, die im Trainingssatz nicht vorkamen .	91.262	4	1	1	1	3		source->Quelle@0.797; training->Trainingssatz@0.921; pretraining->Vortraining@0.792; pre-training->Vortrainings@0.787
newv9_none_block	1	39	2022.acl-long.268	NA	271.377	273.868	Here you can see that there's no overlap in the in the time.	Hier können Sie sehen, dass es keine Überschneidungen in der Zeit gibt.	Hier sehen Sie , dass es keine Überschneidung im Zeitraum gibt.	83.099	3	0	0	0	3		training->Trainingssatz@0.921; pretraining->Vortraining@0.792; pre-training->Vortrainings@0.787
newv9_none_block	1	40	2022.acl-long.268	NA	273.868	277.936	It's also, the test set is also very borrowing-dense.	Außerdem enthält der Testsatz auch sehr viele Entlehnungen.	Ah , es ist außerdem der Testdatensatz, der auch sehr entlehnt ist,	83.051	0	0	0	0	0		
newv9_none_block	1	41	2022.acl-long.268	NA	277.957	289.852	Just to give you some numbers, if the training set contains six borrowings per each thousand tokens, the test set contained twenty borrowings per each thousand tokens.	Um Ihnen ein paar Zahlen zu nennen: Wenn der Trainingssatz sechs Entlehnungen pro 1000 Token enthält, enthält der Testsatz 20 Entlehnungen pro 1000 Token.	also nur, um Ihnen einige Zahlen zu nennen. Wenn der Trainingssatz sechs Entlehnungen pro tausend Token enthält, dann enthält der Testdatensatz zwanzig Entlehnungen pro tausend Token.	91.558	7	2	2	2	5		number->Reihe@0.879; training->Trainingssatz@0.919; pretraining->Vortraining@0.793; pre-training->Vortrainings@0.787; BERT->BERT@0.792; tokens->Token@0.949; token->Token@0.853
newv9_none_block	1	42	2022.acl-long.268	NA	290.573	293.697	The test set contained as many out of vocabulary words as possible.	Der Testsatz enthielt so viele Vokabelwörter wie möglich.	Der Testdatensatz enthielt ebenso viele OOV-W örter wie möglich.	92.982	4	0	0	2	2		tokens->Token@0.937; token->Token@0.829; vocabulary->Wortschatz@0.881; words->Wörtern@0.885
newv9_none_block	1	43	2022.acl-long.268	NA	293.838	298.150	In fact, ninety two percent of the borrowings in the test set are OOV.	Tatsächlich sind 92 Prozent der Entlehnungen im Testsatz OOV.	Tats ächlich sind neunzig zwei Prozent der Entlehnungen im Testdatensatz OOV,	95.082	1	1	1	1	0		OOV->OOV@0.892
newv9_none_block	1	44	2022.acl-long.268	NA	298.190	299.914	So, they were not seen during training.	Sie waren also während des Trainings nicht bekannt.	also während des Trainingssatz nicht gesehen	76.471	4	0	0	1	3		OOV->OOV@0.892; training->Trainingssatz@0.960; pretraining->Vortraining@0.805; pre-training->Vortrainings@0.793
newv9_none_block	1	45	2022.acl-long.268	NA	300.475	307.099	And the corpus consisted basically of a collection of texts that came from different sources of Spanish newspapers.	Der Korpus bestand im Wesentlichen aus einer Sammlung von Texten, die aus verschiedenen Quellen spanischer Zeitungen stammten.	worden. Und das Korpus bestand im Wesentlichen aus einer Sammlung von Text, die aus verschiedenen Quelle spanischer Zeitungen stammten.	98.413	8	2	2	2	6		training->Trainingssatz@0.960; pretraining->Vortraining@0.805; pre-training->Vortrainings@0.793; corpus->Korpus@0.939; corpora->korpora@0.800; texts->Text@0.936; text->Text@0.927; source->Quelle@0.862
newv9_none_block	1	46	2022.acl-long.268	NA	307.361	312.094	And ah it was annotated by hand ah using two tags.	Er wurde manuell mit zwei Tags annotiert.	Und es wurde von Hand annotiert, wobei zwei Tags verwendet	82.927	2	1	1	1	1		annotated->annotiert@0.904; tasks->Aufgaben@0.802
newv9_none_block	1	47	2022.acl-long.268	NA	312.374	320.271	One for English lexical borrowings which is the majority of lexical borrowings in Spanish, and then the label other for borrowings from other languages.	Einer für englische lexikalische Entlehnungen, die den Großteil der lexikalischen Entlehnungen im Spanischen ausmachen, und dann das andere Label für Entlehnungen aus anderen Sprachen.	wurden,eines für lexikalische Entlehnungen aus dem Englischen, was die Mehrheit der Entlehnungen ausmacht, und dann das Label „Anderes“ für Entlehnungen aus anderen Sprachen.	87.500	7	2	2	3	4		tasks->Aufgaben@0.783; lexical->lexikalische@0.878; English->Englischen@0.840; BIO->BIO@0.786; labeled->markiert@0.835; languages->Sprachen@0.938; language->Sprache@0.863
newv9_none_block	1	48	2022.acl-long.268	NA	320.371	332.738	We use CONLL formats and we used BIO encoding so that we could encode ah single token borrowings such as app or multi token borrowings such as machine learning.	Wir verwenden CONLL-Formate und die BIO-Kodierung, sodass wir einfache Token-Entlehnungen wie „App“ oder mehrteilige Token-Entlehnungen wie „maschinelles Lernen“ kodieren können.	Wir verwendeten das CONLL-Format, und wir verwendeten die BIO-Kodierung. Dadurch konnten wir einzelne Token-Entlehnungen wie „app“ oder mehrere Token-Entlehnungen wie „machine learning“ codieren. Dies	94.944	14	7	7	7	7		languages->Sprachen@0.938; language->Sprache@0.863; CONLL->CONLL@0.821; BIO->BIO@0.887; encoding->Kodierung@0.953; decoding->Dekodierung@0.876; positional encoding->Positionskodierung@0.814; encode->kodieren@0.873; token->Token@0.960; tokens->Token@0.809; machine learning->maschinelles Lernen@0.967; learning->Lernen@0.915; machine translation->maschinelle Übersetzung@0.826; transfer learning->Transferlernen@0.791
newv9_none_block	1	49	2022.acl-long.268	NA	333.039	336.063	These are the numbers of the corpus.	Das sind die Nummern des Korpus.	sind die Zahlen der Korpus,	71.875	7	1	1	1	6		machine learning->maschinelles Lernen@0.967; learning->Lernen@0.915; machine translation->maschinelle Übersetzung@0.826; transfer learning->Transferlernen@0.791; number->Reihe@0.926; corpus->Korpus@0.967; corpora->korpora@0.821
newv9_none_block	1	50	2022.acl-long.268	NA	336.083	342.392	As you can see, it amounts to roughly three hundred seventy thousand tokens.	Wie Sie sehen können, handelt es sich um etwa 370 000 Token.	wie Sie sehen können , belaufen sich auf etwa dreihundert siebzigtausend Token.	86.667	4	1	1	1	3		corpus->Korpus@0.967; corpora->korpora@0.812; tokens->Token@0.946; token->Token@0.841
newv9_none_block	1	51	2022.acl-long.268	NA	342.492	350.989	And here you have the number of spans that were labeled as English and the spans that were labeled as other borrowings and how many of them were unique.	Hier sehen Sie die Reihe an Passagen, die als Englisch markiert wurden, und die Passagen, die als andere Entlehnungen markiert waren, und wie viele davon einzigartig waren.	Und hier sehen Sie die Reihe der Passagen, die als Englischen markiert wurden, und die Passagen, die als andere Entlehnungen markiert wurden. Und wie viele davon sind eindeutig.	94.186	7	3	3	4	3		tokens->Token@0.946; token->Token@0.845; number->Reihe@0.971; spans->Passagen@0.949; labeled->markiert@0.907; English->Englischen@0.942; weights->Gewichtungen@0.787
newv9_none_block	1	52	2022.acl-long.268	NA	352.153	356.786	And here you have a couple of examples of the of the set of the dataset.	Hier sehen Sie einige Beispiele für den Datensatz.	Und hier sehen Sie einige Beispiele. Die Reihe der Datensätze.	92.000	3	1	1	1	2		dataset->Datensatz@0.960; datasets->Datensätzen@0.850; data->Daten@0.833
newv9_none_block	1	53	2022.acl-long.268	NA	356.967	364.858	As you can see for instance here, we have ah in the first example, we have the borrowing batch cooking which is a multi word borrowing.	Wie Sie zum Beispiel hier sehen können, haben wir im ersten Beispiel die Entlehnung „batch cooking“, die eine mehrteilige Wort-Entlehnung ist.	Wie Sie sehen können, haben wir hier beispielsweise im ersten Beispiel die Entlehnung „batch cooking“, die mehrere Token umfasst ,	84.507	3	1	0	0	3		dataset->Datensatz@0.960; datasets->Datensätzen@0.850; data->Daten@0.833
newv9_none_block	1	54	2022.acl-long.268	NA	364.978	369.124	And we have annotated it using the BIO um encode.	Wir haben dieses Wort mit der BIO-Kodierung annotiert.	und wir haben sie annotiert, indem wir die BIO-Kodierung verwendet	88.889	3	2	2	3	0		annotated->annotiert@0.783; BIO->BIO@0.903; encode->kodieren@0.814
