run_key	lm	paper_id	segment_idx	start_sec	end_sec	duration_sec	term_map_count	score_min	score_mean	score_max	marginal_078_080	current_window_refs	stale_lookback_refs	future_refs	gold_refs_by_sentence_overlap	source_supported_refs_by_sentence_overlap	noise_refs_by_sentence_overlap	term_map
newv9_none_block	1	2022.acl-long.268	21	20.160	21.120	0.960	5	0.8031	0.8699	0.9559	0	5	0	0	2	2	3	dataset->Datensatz@0.956; datasets->Datensätzen@0.893; propose->vorzuschlagen@0.856; data->Daten@0.841; task->Aufgabe@0.803
newv9_none_block	1	2022.acl-long.268	22	21.120	22.080	0.960	2	0.8449	0.9029	0.9609	0	2	0	0	1	1	1	dataset->Datensatz@0.961; datasets->Datensätzen@0.845
newv9_none_block	1	2022.acl-long.268	23	22.080	23.040	0.960	2	0.7963	0.8587	0.9210	1	2	0	0	1	1	1	dataset->Datensatz@0.921; datasets->Datensätzen@0.796
newv9_none_block	1	2022.acl-long.268	24	23.040	24.000	0.960	1	0.9440	0.9440	0.9440	0	1	0	0	1	1	0	models->Modelle@0.944
newv9_none_block	1	2022.acl-long.268	25	24.000	24.960	0.960	1	0.9415	0.9415	0.9415	0	1	0	0	1	1	0	models->Modelle@0.942
newv9_none_block	1	2022.acl-long.268	26	24.960	25.920	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	27	25.920	26.880	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	28	26.880	27.840	0.960	1	0.8752	0.8752	0.8752	0	1	0	0	1	1	0	lexical->lexikalische@0.875
newv9_none_block	1	2022.acl-long.268	29	27.840	28.800	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	30	28.800	29.760	0.960	1	0.8347	0.8347	0.8347	0	1	0	0	1	1	0	NLP->NLP@0.835
newv9_none_block	1	2022.acl-long.268	31	29.760	30.720	0.960	3	0.8982	0.9086	0.9277	0	3	0	0	2	2	1	task->Aufgabe@0.928; NLP task->NLP-Aufgabe@0.900; tasks->Aufgaben@0.898
newv9_none_block	1	2022.acl-long.268	32	30.720	31.680	0.960	3	0.8690	0.8909	0.9180	0	3	0	0	0	0	3	NLP task->NLP-Aufgabe@0.918; task->Aufgabe@0.886; tasks->Aufgaben@0.869
newv9_none_block	1	2022.acl-long.268	33	31.680	32.640	0.960	1	0.8416	0.8416	0.8416	0	1	0	0	1	1	0	lexical->lexikalische@0.842
newv9_none_block	1	2022.acl-long.268	34	32.640	33.600	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	35	33.600	34.560	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	36	34.560	35.520	0.960	3	0.8602	0.9048	0.9443	0	3	0	0	2	2	1	words->Wörtern@0.944; language->Sprache@0.910; word->Wort@0.860
newv9_none_block	1	2022.acl-long.268	37	35.520	36.480	0.960	2	0.7887	0.8560	0.9234	1	2	0	0	1	1	1	language->Sprache@0.923; languages->Sprachen@0.789
newv9_none_block	1	2022.acl-long.268	38	36.480	37.440	0.960	2	0.7996	0.8662	0.9328	1	2	0	0	1	1	1	language->Sprache@0.933; languages->Sprachen@0.800
newv9_none_block	1	2022.acl-long.268	39	37.440	38.400	0.960	1	0.8196	0.8196	0.8196	0	1	0	0	0	0	1	language->Sprache@0.820
newv9_none_block	1	2022.acl-long.268	40	38.400	39.360	0.960	2	0.8572	0.8949	0.9325	0	2	0	0	0	1	1	words->Wörtern@0.933; word->Wort@0.857
newv9_none_block	1	2022.acl-long.268	41	39.360	40.320	0.960	3	0.8361	0.9006	0.9335	0	3	0	0	1	2	1	words->Wörtern@0.934; English->Englischen@0.932; word->Wort@0.836
newv9_none_block	1	2022.acl-long.268	42	40.320	41.280	0.960	1	0.9293	0.9293	0.9293	0	1	0	0	0	1	0	English->Englischen@0.929
newv9_none_block	1	2022.acl-long.268	43	41.280	42.240	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	44	42.240	43.200	0.960	2	0.8374	0.8841	0.9307	0	2	0	0	0	1	1	words->Wörtern@0.931; word->Wort@0.837
newv9_none_block	1	2022.acl-long.268	45	43.200	44.160	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	46	44.160	45.120	0.960	1	0.9111	0.9111	0.9111	0	1	0	0	1	1	0	Online->Online@0.911
newv9_none_block	1	2022.acl-long.268	47	45.120	46.080	0.960	2	0.7825	0.8238	0.8651	1	2	0	0	1	2	0	English->Englischen@0.865; Online->Online@0.782
newv9_none_block	1	2022.acl-long.268	48	46.080	47.040	0.960	1	0.8977	0.8977	0.8977	0	1	0	0	0	1	0	words->Wörtern@0.898
newv9_none_block	1	2022.acl-long.268	49	47.040	48.000	0.960	1	0.8848	0.8848	0.8848	0	1	0	0	0	1	0	words->Wörtern@0.885
newv9_none_block	1	2022.acl-long.268	50	48.000	48.960	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	51	48.960	49.920	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	52	49.920	50.880	0.960	1	0.8331	0.8331	0.8331	0	1	0	0	1	1	0	linguistic->sprachlichen@0.833
newv9_none_block	1	2022.acl-long.268	53	50.880	51.840	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	54	51.840	52.800	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	55	52.800	53.760	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	56	53.760	54.720	0.960	1	0.8750	0.8750	0.8750	0	1	0	0	1	1	0	language->Sprache@0.875
newv9_none_block	1	2022.acl-long.268	57	54.720	55.680	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	58	55.680	56.640	0.960	2	0.8747	0.9057	0.9367	0	2	0	0	2	2	0	languages->Sprachen@0.937; language->Sprache@0.875
newv9_none_block	1	2022.acl-long.268	59	56.640	57.600	0.960	2	0.8476	0.8907	0.9337	0	2	0	0	1	1	1	languages->Sprachen@0.934; language->Sprache@0.848
newv9_none_block	1	2022.acl-long.268	60	57.600	58.560	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	61	58.560	59.520	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	62	59.520	60.480	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	63	60.480	61.440	0.960	1	0.8636	0.8636	0.8636	0	1	0	0	0	1	0	compared->im Vergleich zu@0.864
newv9_none_block	1	2022.acl-long.268	64	61.440	62.400	0.960	1	0.8251	0.8251	0.8251	0	1	0	0	0	1	0	compared->im Vergleich zu@0.825
newv9_none_block	1	2022.acl-long.268	65	62.400	63.360	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	66	63.360	64.320	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	67	64.320	65.280	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	68	65.280	66.240	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	69	66.240	67.200	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	70	67.200	68.160	0.960	2	0.8374	0.8749	0.9124	0	2	0	0	1	1	1	languages->Sprachen@0.912; language->Sprache@0.837
newv9_none_block	1	2022.acl-long.268	71	68.160	69.120	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	72	69.120	70.080	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	73	70.080	71.040	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	74	71.040	72.000	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	75	72.000	72.960	0.960	2	0.7867	0.7947	0.8026	1	2	0	0	0	0	2	encoding->Kodierung@0.803; decoding->Dekodierung@0.787
newv9_none_block	1	2022.acl-long.268	76	72.960	73.920	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	77	73.920	74.880	0.960	1	0.8678	0.8678	0.8678	0	1	0	0	1	1	0	lexical->lexikalische@0.868
newv9_none_block	1	2022.acl-long.268	78	74.880	75.840	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	79	75.840	76.800	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	80	76.800	77.760	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	81	77.760	78.720	0.960	1	0.8320	0.8320	0.8320	0	1	0	0	0	0	1	BIO->BIO@0.832
newv9_none_block	1	2022.acl-long.268	82	78.720	79.680	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	83	79.680	80.640	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	84	80.640	81.600	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	85	81.600	82.560	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	86	82.560	83.520	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	87	83.520	84.480	0.960	2	0.8750	0.9093	0.9436	0	2	0	0	1	1	1	languages->Sprachen@0.944; language->Sprache@0.875
newv9_none_block	1	2022.acl-long.268	88	84.480	85.440	0.960	2	0.8742	0.8960	0.9178	0	2	0	0	1	1	1	languages->Sprachen@0.918; language->Sprache@0.874
newv9_none_block	1	2022.acl-long.268	89	85.440	86.400	0.960	1	0.7959	0.7959	0.7959	1	1	0	0	0	0	1	language->Sprache@0.796
newv9_none_block	1	2022.acl-long.268	90	86.400	87.360	0.960	1	0.8828	0.8828	0.8828	0	1	0	0	1	1	0	lexical->lexikalische@0.883
newv9_none_block	1	2022.acl-long.268	91	87.360	88.320	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	92	88.320	89.280	0.960	1	0.8418	0.8418	0.8418	0	1	0	0	0	0	1	monolingual->einsprachiges@0.842
newv9_none_block	1	2022.acl-long.268	93	89.280	90.240	0.960	1	0.8274	0.8274	0.8274	0	1	0	0	0	0	1	monolingual->einsprachiges@0.827
newv9_none_block	1	2022.acl-long.268	94	90.240	91.200	0.960	1	0.8346	0.8346	0.8346	0	1	0	0	0	0	1	monolingual->einsprachiges@0.835
newv9_none_block	1	2022.acl-long.268	95	91.200	92.160	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	96	92.160	93.120	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	97	93.120	94.080	0.960	1	0.9580	0.9580	0.9580	0	1	0	0	1	1	0	grammar->Grammatik@0.958
newv9_none_block	1	2022.acl-long.268	98	94.080	95.040	0.960	2	0.7981	0.8583	0.9185	1	2	0	0	0	1	1	language->Sprache@0.919; languages->Sprachen@0.798
newv9_none_block	1	2022.acl-long.268	99	95.040	96.000	0.960	1	0.9095	0.9095	0.9095	0	1	0	0	0	1	0	language->Sprache@0.909
newv9_none_block	1	2022.acl-long.268	100	96.000	96.960	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	101	96.960	97.920	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	102	97.920	98.880	0.960	2	0.8023	0.8569	0.9115	0	2	0	0	0	1	1	language->Sprache@0.911; languages->Sprachen@0.802
newv9_none_block	1	2022.acl-long.268	103	98.880	99.840	0.960	1	0.9178	0.9178	0.9178	0	1	0	0	0	0	1	language->Sprache@0.918
newv9_none_block	1	2022.acl-long.268	104	99.840	100.800	0.960	1	0.7894	0.7894	0.7894	1	1	0	0	0	0	1	language->Sprache@0.789
newv9_none_block	1	2022.acl-long.268	105	100.800	101.760	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	106	101.760	102.720	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	107	102.720	103.680	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	108	103.680	104.640	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	109	104.640	105.600	0.960	2	0.9222	0.9413	0.9604	0	2	0	0	1	1	1	linguistics->Linguistik@0.960; linguistic->sprachlichen@0.922
newv9_none_block	1	2022.acl-long.268	110	105.600	106.560	0.960	2	0.8557	0.8692	0.8826	0	2	0	0	1	1	1	linguistics->Linguistik@0.883; linguistic->sprachlichen@0.856
newv9_none_block	1	2022.acl-long.268	111	106.560	107.520	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	112	107.520	108.480	0.960	2	0.9002	0.9149	0.9296	0	2	0	0	1	1	1	languages->Sprachen@0.930; language->Sprache@0.900
newv9_none_block	1	2022.acl-long.268	113	108.480	109.440	0.960	2	0.7868	0.8005	0.8141	1	2	0	0	1	1	1	languages->Sprachen@0.814; language->Sprache@0.787
newv9_none_block	1	2022.acl-long.268	114	109.440	110.400	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	115	110.400	111.360	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	116	111.360	112.320	0.960	1	0.8279	0.8279	0.8279	0	1	0	0	1	1	0	lexical->lexikalische@0.828
newv9_none_block	1	2022.acl-long.268	117	112.320	113.280	0.960	1	0.9241	0.9241	0.9241	0	1	0	0	1	1	0	source->Quelle@0.924
newv9_none_block	1	2022.acl-long.268	118	113.280	114.240	0.960	2	0.8492	0.8725	0.8958	0	2	0	0	1	2	0	words->Wörtern@0.896; source->Quelle@0.849
newv9_none_block	1	2022.acl-long.268	119	114.240	115.200	0.960	1	0.8507	0.8507	0.8507	0	1	0	0	0	1	0	words->Wörtern@0.851
newv9_none_block	1	2022.acl-long.268	120	115.200	116.160	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	121	116.160	117.120	0.960	1	0.8806	0.8806	0.8806	0	1	0	0	1	1	0	lexical->lexikalische@0.881
newv9_none_block	1	2022.acl-long.268	122	117.120	118.080	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	123	118.080	119.040	0.960	1	0.8932	0.8932	0.8932	0	1	0	0	1	1	0	language->Sprache@0.893
newv9_none_block	1	2022.acl-long.268	124	119.040	120.000	0.960	1	0.8731	0.8731	0.8731	0	1	0	0	1	1	0	language->Sprache@0.873
newv9_none_block	1	2022.acl-long.268	125	120.000	120.960	0.960	2	0.8049	0.8677	0.9304	0	2	0	0	1	1	1	words->Wörtern@0.930; word->Wort@0.805
newv9_none_block	1	2022.acl-long.268	126	120.960	121.920	0.960	1	0.9180	0.9180	0.9180	0	1	0	0	1	1	0	NLP->NLP@0.918
newv9_none_block	1	2022.acl-long.268	127	121.920	122.880	0.960	2	0.7956	0.8691	0.9426	1	2	0	0	1	1	1	NLP->NLP@0.943; NLP task->NLP-Aufgabe@0.796
newv9_none_block	1	2022.acl-long.268	128	122.880	123.840	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	129	123.840	124.800	0.960	1	0.9441	0.9441	0.9441	0	1	0	0	1	1	0	source->Quelle@0.944
newv9_none_block	1	2022.acl-long.268	130	124.800	125.760	0.960	3	0.8177	0.8731	0.9341	0	3	0	0	2	2	1	words->Wörtern@0.934; vocabulary->Wortschatz@0.868; word->Wort@0.818
newv9_none_block	1	2022.acl-long.268	131	125.760	126.720	0.960	3	0.7942	0.8560	0.9408	1	3	0	0	2	2	1	words->Wörtern@0.941; word->Wort@0.833; vocabulary->Wortschatz@0.794
newv9_none_block	1	2022.acl-long.268	132	126.720	127.680	0.960	2	0.8170	0.8552	0.8934	0	2	0	0	0	0	2	words->Wörtern@0.893; word->Wort@0.817
newv9_none_block	1	2022.acl-long.268	133	127.680	128.640	0.960	1	0.9314	0.9314	0.9314	0	1	0	0	1	1	0	Detecting->Erkennung@0.931
newv9_none_block	1	2022.acl-long.268	134	128.640	129.600	0.960	2	0.7977	0.8098	0.8218	1	2	0	0	2	2	0	lexical->lexikalische@0.822; Detecting->Erkennung@0.798
newv9_none_block	1	2022.acl-long.268	135	129.600	130.560	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	136	130.560	131.520	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	137	131.520	132.480	0.960	2	0.7835	0.8573	0.9310	1	2	0	0	1	1	1	NLP->NLP@0.931; NLP task->NLP-Aufgabe@0.783
newv9_none_block	1	2022.acl-long.268	138	132.480	133.440	0.960	4	0.8085	0.8635	0.9311	0	4	0	0	2	2	2	task->Aufgabe@0.931; tasks->Aufgaben@0.903; NLP task->NLP-Aufgabe@0.812; downstream->nachgelagerte@0.808
newv9_none_block	1	2022.acl-long.268	139	133.440	134.400	0.960	4	0.8326	0.8940	0.9412	0	4	0	0	2	2	2	parsing->Parsing@0.941; task->Aufgabe@0.909; tasks->Aufgaben@0.893; NLP task->NLP-Aufgabe@0.833
newv9_none_block	1	2022.acl-long.268	140	134.400	135.360	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	141	135.360	136.320	0.960	5	0.7811	0.8222	0.9006	2	5	0	0	2	2	3	machine translation->maschinelle Übersetzung@0.901; generalization->Verallgemeinerung@0.825; question generation->Fragengenerierung@0.817; machine learning->maschinelles Lernen@0.788; translation->Übersetzung@0.781
newv9_none_block	1	2022.acl-long.268	142	136.320	137.280	0.960	1	0.8452	0.8452	0.8452	0	1	0	0	0	0	1	machine translation->maschinelle Übersetzung@0.845
newv9_none_block	1	2022.acl-long.268	143	137.280	138.240	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	144	138.240	139.200	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	145	139.200	140.160	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	146	140.160	141.120	0.960	1	0.8332	0.8332	0.8332	0	1	0	0	1	1	0	English->Englischen@0.833
newv9_none_block	1	2022.acl-long.268	147	141.120	142.080	0.960	3	0.8441	0.9089	0.9496	0	3	0	0	2	2	1	English->Englischen@0.950; languages->Sprachen@0.933; language->Sprache@0.844
newv9_none_block	1	2022.acl-long.268	148	142.080	143.040	0.960	3	0.7857	0.8524	0.9387	1	3	0	0	2	2	1	languages->Sprachen@0.939; language->Sprache@0.833; English->Englischen@0.786
newv9_none_block	1	2022.acl-long.268	149	143.040	144.000	0.960	1	0.7916	0.7916	0.7916	1	1	0	0	1	1	0	languages->Sprachen@0.792
newv9_none_block	1	2022.acl-long.268	150	144.000	144.960	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	151	144.960	145.920	0.960	2	0.8473	0.8503	0.8534	0	2	0	0	2	2	0	lexical->lexikalische@0.853; English->Englischen@0.847
newv9_none_block	1	2022.acl-long.268	152	145.920	146.880	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	153	146.880	147.840	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	154	147.840	148.800	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	155	148.800	149.760	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	156	149.760	150.720	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	157	150.720	151.680	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	158	151.680	152.640	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	159	152.640	153.600	0.960	3	0.7889	0.8648	0.9368	1	3	0	0	2	2	1	detection->Erkennung@0.937; automatic->automatischen@0.869; Detecting->Erkennung@0.789
newv9_none_block	1	2022.acl-long.268	160	153.600	154.560	0.960	1	0.8311	0.8311	0.8311	0	1	0	0	1	1	0	detection->Erkennung@0.831
newv9_none_block	1	2022.acl-long.268	161	154.560	155.520	0.960	2	0.8526	0.8799	0.9072	0	2	0	0	1	1	1	languages->Sprachen@0.907; language->Sprache@0.853
newv9_none_block	1	2022.acl-long.268	162	155.520	156.480	0.960	2	0.8734	0.9045	0.9357	0	2	0	0	1	1	1	languages->Sprachen@0.936; language->Sprache@0.873
newv9_none_block	1	2022.acl-long.268	163	156.480	157.440	0.960	2	0.8241	0.8715	0.9189	0	2	0	0	0	0	2	languages->Sprachen@0.919; language->Sprache@0.824
newv9_none_block	1	2022.acl-long.268	164	157.440	158.400	0.960	2	0.8947	0.9306	0.9666	0	2	0	0	1	1	1	task->Aufgabe@0.967; tasks->Aufgaben@0.895
newv9_none_block	1	2022.acl-long.268	165	158.400	159.360	0.960	3	0.8903	0.9290	0.9626	0	3	0	0	1	2	1	task->Aufgabe@0.963; propose->vorzuschlagen@0.934; tasks->Aufgaben@0.890
newv9_none_block	1	2022.acl-long.268	166	159.360	160.320	0.960	1	0.9176	0.9176	0.9176	0	1	0	0	0	1	0	propose->vorzuschlagen@0.918
newv9_none_block	1	2022.acl-long.268	167	160.320	161.280	0.960	1	0.8840	0.8840	0.8840	0	1	0	0	0	1	0	propose->vorzuschlagen@0.884
newv9_none_block	1	2022.acl-long.268	168	161.280	162.240	0.960	1	0.8477	0.8477	0.8477	0	1	0	0	1	1	0	lexical->lexikalische@0.848
newv9_none_block	1	2022.acl-long.268	169	162.240	163.200	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	170	163.200	164.160	0.960	1	0.8419	0.8419	0.8419	0	1	0	0	1	1	0	newswire->Nachrichten@0.842
newv9_none_block	1	2022.acl-long.268	171	164.160	165.120	0.960	1	0.8359	0.8359	0.8359	0	1	0	0	0	0	1	newswire->Nachrichten@0.836
newv9_none_block	1	2022.acl-long.268	172	165.120	166.080	0.960	1	0.8921	0.8921	0.8921	0	1	0	0	0	0	1	newswire->Nachrichten@0.892
newv9_none_block	1	2022.acl-long.268	173	166.080	167.040	0.960	1	0.9442	0.9442	0.9442	0	1	0	0	1	1	0	extracting->extrahieren@0.944
newv9_none_block	1	2022.acl-long.268	174	167.040	168.000	0.960	1	0.8356	0.8356	0.8356	0	1	0	0	1	1	0	extracting->extrahieren@0.836
newv9_none_block	1	2022.acl-long.268	175	168.000	168.960	0.960	2	0.8360	0.8816	0.9272	0	2	0	0	0	1	1	words->Wörtern@0.927; word->Wort@0.836
newv9_none_block	1	2022.acl-long.268	176	168.960	169.920	0.960	1	0.8166	0.8166	0.8166	0	1	0	0	0	1	0	words->Wörtern@0.817
newv9_none_block	1	2022.acl-long.268	177	169.920	170.880	0.960	2	0.8463	0.8964	0.9465	0	2	0	0	2	2	0	languages->Sprachen@0.947; language->Sprache@0.846
newv9_none_block	1	2022.acl-long.268	178	170.880	171.840	0.960	2	0.8441	0.8962	0.9483	0	2	0	0	2	2	0	languages->Sprachen@0.948; language->Sprache@0.844
newv9_none_block	1	2022.acl-long.268	179	171.840	172.800	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	180	172.800	173.760	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	181	173.760	174.720	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	182	174.720	175.680	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	183	175.680	176.640	0.960	2	0.8014	0.8586	0.9158	0	2	0	0	2	2	0	language->Sprache@0.916; languages->Sprachen@0.801
newv9_none_block	1	2022.acl-long.268	184	176.640	177.600	0.960	2	0.7920	0.8495	0.9071	1	2	0	0	0	0	2	language->Sprache@0.907; languages->Sprachen@0.792
newv9_none_block	1	2022.acl-long.268	185	177.600	178.560	0.960	1	0.8116	0.8116	0.8116	0	1	0	0	0	0	1	language->Sprache@0.812
newv9_none_block	1	2022.acl-long.268	186	178.560	179.520	0.960	0				0	0	0	0	0	0	0	
newv9_none_block	1	2022.acl-long.268	187	179.520	180.480	0.960	1	0.7821	0.7821	0.7821	1	1	0	0	0	0	1	AI->KI@0.782
newv9_none_block	1	2022.acl-long.268	188	180.480	181.440	0.960	0				0	0	0	0	0	0	0	
