sentence_index	paper_id	speaker_id	start_sec	end_sec	duration_sec	source	reference	newv9_hyp	tmv4_hyp	norag_hyp	newv9_chrf	tmv4_chrf	norag_chrf	tmv4_minus_newv9_chrf	norag_minus_newv9_chrf	newv9_words	tmv4_words	norag_words	ref_words	term_map_count	term_map	gold_terms	newv9_adopted	newv9_missed	tmv4_adopted	tmv4_missed	newv9_false_copy_from_term_map	newv9_term_tag_chunks_overlapping_sentence
10	2022.acl-long.268	NA	74.755	89.618	14.863	Code switching is something that is done by bilinguals and by definition the code switches are not integrated into any of the languages in use, whereas lexical borrowing is something that is also done by monolinguals.	Zweisprachige Personen praktizieren das sogenannte Code-Switching. Per Definition sind die Code-Switches nicht Teil der verwendeten Sprachen, während die lexikalische Entlehnung auch von einsprachigen Personen verwendet wird.	Code-Switching ist etwas, das von Zweisprachigen und per Definition der Code-Switcher nicht in eine der Sprachen integriert sind , die verwendet werden. Lexikalische Entlehnung hingegen wird ebenfalls von einsprachiges Personen durchgeführt.	Code-Switching wird von Zweisprachigen ausgeführt. Und per Definition sind Code-Switcher nicht in eine der Sprachen integriert, die sie verwenden,während lexikalische Entlehnung etwas ist, das ebenfalls von Einsprachigen ausgeführt wird.	Code-Switching ist etwas, das von Zweisprachigen ausgeführt wird, und per Definition sind die Code-Switcher nicht in eine der Sprachen integriert, in denen sie verwendet werden. Im Gegensatz dazu wird lexikalisches Entlehen auch von Einlingualen durchgeführt.	96.444	92.889	95.556	-3.556	-0.889	32	32	37	28	4	language->Sprache; languages->Sprachen; lexical->lexikalische; monolingual->einsprachiges	languages->Sprachen; lexical->lexikalische	languages->Sprachen	lexical->lexikalische	languages->Sprachen; lexical->lexikalische		monolingual->einsprachiges	2
11	2022.acl-long.268	NA	91.044	94.934	3.890	The borrowings will comply with the grammar of the recipient language.	Die Entlehnungen werden der Grammatik der Empfängersprache angepasst.	Die Entlehnungen werden der Grammatik der empfangenden Sprache entsprechen.Und	Die Entlehnung folgt der Grammatik der empfangenden Sprache, und	Die Entlehnungen werden der Grammatik der empfangenden Sprache entsprechen. Und	91.304	81.159	91.304	-10.145	0.000	10	9	10	8	4	grammar->Grammatik; language->Sprache; languages->Sprachen; monolingual->einsprachiges	grammar->Grammatik	grammar->Grammatik		grammar->Grammatik			1
12	2022.acl-long.268	NA	95.014	98.838	3.824	And borrowings can eventually be integrated into the recipient language.	Entlehnungen können Schritt für Schritt in die Empfängersprache integriert werden.	Entlehnungen können schließlich in die empfangende Sprache integriert werden.	Entlehnungen k önnen schließlich in die empfangende Sprache integriert werden.	Entlehnungen können schließlich in die empfangende Sprache integriert werden.	82.927	84.146	82.927	1.220	0.000	9	10	9	10	2	language->Sprache; languages->Sprachen							0
13	2022.acl-long.268	NA	100.503	102.869	2.366	So why is borrowing an interesting phenomenon?	Warum ist Entlehnen so ein interessantes Phänomen?	Warum ist Entlehnung ein interessantes Phänomen?	Warum ist Entlehnung ein interessantes Phänomen?	Warum ist Entlehen ein interessantes Phänomen?	92.000	92.000	92.000	0.000	0.000	6	6	6	7	1	language->Sprache							0
14	2022.acl-long.268	NA	102.909	109.968	7.059	Well, from the point of view of linguistics, borrowing is a manifestation of of how languages change and how they interact.	Aus Sicht der Linguistik ist die Entlehnung eine Manifestation dessen, wie sich Sprachen verändern und wie sie interagieren.	Nun, aus sprachlichen Sicht ist Entlehnung ein Ausdruck dafür, wie Sprachen sich verändern und wie sie miteinander interagieren.	Nun, aus sprachwissenschaftlicher Sicht ist Entlehnung ein Ausdruck dafür, wie Sprachen sich verändern und miteinander interagieren .	Nun, aus sprachwissenschaftlicher Sicht ist Entlehen ein Ausdruck dafür, wie Sprachen sich verändern und miteinander interagieren .	88.710	88.710	87.903	0.000	-0.806	18	16	16	18	4	language->Sprache; languages->Sprachen; linguistic->sprachlichen; linguistics->Linguistik	languages->Sprachen; linguistics->Linguistik	languages->Sprachen	linguistics->Linguistik	languages->Sprachen	linguistics->Linguistik	linguistic->sprachlichen	2
15	2022.acl-long.268	NA	110.290	113.836	3.546	And also lexical borrowings are a source of new words.	Auch lexikalische Entlehnungen sind eine Quelle für neue Wörter.	Außerdem sind lexikalische Entlehnungen eine Quelle für neue Wörtern.	Außerdem sind lexikalische Entlehnungen eine Quelle neuer Wörter.	Außerdem sind lexikalische Entlehnungen eine Quelle für neue Wörter.	96.875	92.188	96.875	-4.688	0.000	9	8	9	9	3	lexical->lexikalische; source->Quelle; words->Wörtern	lexical->lexikalische; source->Quelle	lexical->lexikalische; source->Quelle		lexical->lexikalische; source->Quelle			3
16	2022.acl-long.268	NA	113.916	120.287	6.371	Here you have some examples of lexical borrowings that have been incorporated into the Spanish language as new words.	Hier finden Sie einige Beispiele für lexikalische Entlehnungen, die als neue Wörter in die spanische Sprache aufgenommen wurden.	Hier haben Sie einige Beispiele für lexikalische Entlehnungen, die in die spanische Sprache aufgenommen wurden	Hier sehen Sie einige Beispiele für lexikalische Entlehnungen, die in die spanische Sprache aufgenommen wurden	Hier sehen Sie einige Beispiele für lexikalische Entlehnungen, die in die spanische Sprache aufgenommen wurden	84.375	85.156	85.156	0.781	0.781	15	15	15	18	5	language->Sprache; lexical->lexikalische; source->Quelle; word->Wort; words->Wörtern	language->Sprache; lexical->lexikalische	language->Sprache; lexical->lexikalische		language->Sprache; lexical->lexikalische			3
17	2022.acl-long.268	NA	120.909	126.023	5.114	In terms of NLP ah borrowings are a common source of out-of-vocabulary words.	Beim NLP sind Entlehnungen eine häufige Quelle von Wörtern, die nicht im Wortschatz enthalten sind.	und als neue Wörtern gelten. Was NLP betrifft, sind Entlehnungen eine Quelle für Wörtern außerhalb des Wortschatzes, und tatsächlich, die	und als neue Wörter gelten. Was die NLP betrifft, sind Entlehnungen eine häufige Quelle von Wörtern außerhalb des Wortschatzes, und tatsächlich, die	und als neue Wörter gelten. Was die NATÜRLICHE SPRACHVERARBEITUNG betrifft, sind Entlehnungen eine häufige Quelle für Wörter außerhalb des Wortschatzes, und tatsächlich hat	91.919	95.960	91.919	4.040	0.000	20	22	23	15	7	language->Sprache; nlp->NLP; nlp task->NLP-Aufgabe; source->Quelle; vocabulary->Wortschatz; word->Wort; words->Wörtern	NLP->NLP; source->Quelle; vocabulary->Wortschatz; words->Wörtern	NLP->NLP; source->Quelle; vocabulary->Wortschatz; words->Wörtern		NLP->NLP; source->Quelle; vocabulary->Wortschatz; words->Wörtern			4
18	2022.acl-long.268	NA	126.385	136.232	9.847	And in fact, automatically detecting lexical borrowings ah has proven to be useful for NLP downstream tasks such as parsing, text-to-speech synthesis or machine translation.	Die automatische Erkennung lexikalischer Entlehnungen erwies sich als nützlich für NLP und nachgelagerte Aufgaben wie Parsing, Text-zu-Sprache-Synthesen oder die maschinelle Übersetzung.	automatische Erkennung von lexikalischen Entlehnungen hat sich als nützlich für NLP-nachgelagerte Aufgaben wie Parsing, Textzusammenfassung oder maschinelle Übersetzung	automatische Erkennung lexikalischer Entlehnungen hat sich als nützlich für NLP -Aufgaben wie Parsing, Textzusammenfassung oder maschinelle Übersetzung	sich die automatische Erkennung lexikalischer Entlehnungen als nützlich für Aufgaben in der NATÜRLICHEN SPRACHVERARBEITUNG erwiesen , wie z. B. die Syntaxanalyse, Textzusammenfassung oder maschinelle Übersetzung.	84.946	79.032	90.323	-5.914	5.376	19	17	24	24	12	detecting->Erkennung; downstream->nachgelagerte; machine learning->maschinelles Lernen; machine translation->maschinelle Übersetzung; nlp->NLP; nlp task->NLP-Aufgabe; parsing->Parsing; task->Aufgabe; tasks->Aufgaben; vocabulary->Wortschatz; word->Wort; words->Wörtern	Detecting->Erkennung; downstream->nachgelagerte; lexical->lexikalische; machine translation->maschinelle Übersetzung; NLP->NLP; parsing->Parsing; speech->Sprache; tasks->Aufgaben; text->Text; translation->Übersetzung	Detecting->Erkennung; downstream->nachgelagerte; lexical->lexikalische; machine translation->maschinelle Übersetzung; NLP->NLP; parsing->Parsing; tasks->Aufgaben; text->Text; translation->Übersetzung	speech->Sprache	Detecting->Erkennung; lexical->lexikalische; machine translation->maschinelle Übersetzung; NLP->NLP; parsing->Parsing; tasks->Aufgaben; text->Text; translation->Übersetzung	downstream->nachgelagerte; speech->Sprache		6
19	2022.acl-long.268	NA	137.294	149.049	11.755	There has been a growing interest in the influence of English on other languages ah particularly ah related to English lexical borrowings, borrowings which sometimes have been called Anglicisms.	Der Einfluss des Englischen auf andere Sprachen erfährt immer stärkeres Interesse, insbesondere bei englischen lexikalischen Entlehnungen. Diese werden manchmal auch als Anglizismen bezeichnet.	erwiesen. Es hat eine wachsende Interesse an der Einflussnahme des Englischen auf andere Sprachen gegeben , insbesondere bez üglich lexikalische Entlehnungen des Englischen. Entlehnungen, die manchmal als Anglizismen bezeichnet	erwiesen. Es hat eine wachsende Interesse an der Inferenz des Englischen auf andere Sprachen, insbesondere im Zusammenhang mit englischen lexikalischen Entlehnungen , die manchmal als Anglizismen bezeichnet	Es hat eine wachsende Interesse an der Einflussnahme des Englischen auf andere Sprachen, insbesondere im Zusammenhang mit englischen Entlehnungen, die manchmal als Anglizismen bezeichnet	93.782	92.228	86.528	-1.554	-7.254	28	26	24	23	6	english->Englischen; inference->Inferenz; language->Sprache; languages->Sprachen; lexical->lexikalische; machine translation->maschinelle Übersetzung	English->Englischen; languages->Sprachen; lexical->lexikalische	English->Englischen; languages->Sprachen; lexical->lexikalische		English->Englischen; languages->Sprachen; lexical->lexikalische			4
20	2022.acl-long.268	NA	149.050	155.967	6.917	And here, you have some examples of ah work on automatic detection of borrowings in ah some of these languages.	Hier sind einige Beispiele von Arbeiten zur automatischen Erkennung von Entlehnungen in einigen dieser Sprachen.	werden, und hier haben Sie einige Beispiele f ür automatischen Erkennung von Entlehnungen in einigen dieser Sprachen.Das	werden,und hier sehen Sie einige Beispiele f ür die automatische Erkennung von Entlehnungen in einigen dieser Sprachen.	werden.Und hier sehen Sie einige Beispiele für Arbeiten zur automatischen Erkennung von Entlehnungen in einigen dieser Sprachen.	93.750	92.857	97.321	-0.893	3.571	18	18	18	15	5	automatic->automatischen; detecting->Erkennung; detection->Erkennung; language->Sprache; languages->Sprachen	automatic->automatischen; detection->Erkennung; languages->Sprachen	automatic->automatischen; detection->Erkennung; languages->Sprachen		detection->Erkennung; languages->Sprachen	automatic->automatischen		1
21	2022.acl-long.268	NA	156.969	163.919	6.950	So the task that we propose is to detect unassimilated lexical borrowings in Spanish newswire.	Die Aufgabe, die wir vorschlagen, besteht also darin, nicht-assimilierte lexikalische Entlehnungen in spanischen Nachrichten zu erkennen.	von uns vorgeschlagene Aufgabe besteht darin, lexikalische Entlehnungen im spanischen Nachrichten Wire zu erkennen,was	Die Aufgabe, die wir vorschlagen, besteht darin, unassimilierte lexikalische Entlehnungen im spanischen Nachrichtenkorpus zu erkennen,was	Die Aufgabe, die wir vorschlagen, besteht darin, asymmetrische lexikalische Entlehnungen im spanischen Nachrichten-Datenstrom zu erkennen,was	83.212	93.431	94.161	10.219	10.949	15	16	17	17	7	language->Sprache; languages->Sprachen; lexical->lexikalische; newswire->Nachrichten; propose->vorzuschlagen; task->Aufgabe; tasks->Aufgaben	lexical->lexikalische; newswire->Nachrichten; task->Aufgabe	lexical->lexikalische; newswire->Nachrichten; task->Aufgabe		lexical->lexikalische; newswire->Nachrichten; task->Aufgabe			3
22	2022.acl-long.268	NA	164.060	176.534	12.474	Which means that we are interested in extracting ah words borrowed from other languages that are being used in Spanish newspapers but that have not been integrated or assimilated into the recipient language.	Wir sind daran interessiert, aus anderen Sprachen entlehnte Wörter zu extrahieren, die in spanischen Zeitungen verwendet werden, aber nicht in die Empfängersprache integriert oder assimiliert wurden.	bedeutet, dass wir daran interessiert sind, Wörtern aus anderen Sprachen zu extrahieren, die in spanischen Zeitungen verwendet werden, aber noch nicht integriert oder assimiliert wurden.	bedeutet, dass wir daran interessiert sind, Wörter zu extrahieren, die aus anderen Sprachen stammen und in spanischen Zeitungen verwendet werden, die jedoch noch nicht integriert oder assimiliert wurden.	bedeutet, dass wir daran interessiert sind, Wörter zu extrahieren, die aus anderen Sprachen entlehnt wurden, die in spanischen Zeitungen verwendet werden, aber noch nicht in die spanische Sprache integriert oder assimiliert wurden.	89.950	92.965	96.985	3.015	7.035	25	28	32	26	6	extracting->extrahieren; language->Sprache; languages->Sprachen; newswire->Nachrichten; word->Wort; words->Wörtern	extracting->extrahieren; language->Sprache; languages->Sprachen	extracting->extrahieren; language->Sprache; languages->Sprachen		extracting->extrahieren; language->Sprache; languages->Sprachen			3
23	2022.acl-long.268	NA	176.554	179.556	3.002	So not yet integrated into Spanish.	Sie wurden also noch nicht ins Spanische integriert.	Noch nicht integriert in die spanische Sprache.Hier sehen	Noch nicht in die spanische Sprache integriert.Hier sehen	Noch nicht in die spanische Sprache integriert.Hier sehen	88.462	88.462	88.462	0.000	0.000	9	9	9	8	3	language->Sprache; language model->Sprachmodell; languages->Sprachen						language->Sprache	0
24	2022.acl-long.268	NA	179.577	181.238	1.661	Here you have an example.	Hier ist ein Beispiel.	Sie ein Beispiel,	Sie ein Beispiel,	Sie ein Beispiel,	68.182	68.182	68.182	0.000	0.000	3	3	3	4	1	sentence->Satz							1
25	2022.acl-long.268	NA	181.441	188.137	6.696	This is a sentence in Spanish: Las prendas bestsellers se estampan con motivos florales, animal print o retales tipo patchwork.	Dies ist ein Satz auf Spanisch: Las prendas bestsellers se estampan con motivos florales, animal print o retales tipo patchwork.	dies ist ein Satz auf Spanisch, die meistverkauften Waren werden mit floralen oder Tierdruckmuster oder Patchwork-Verzierungen bedruckt, und wie	dies ist ein Satz auf Spanisch, die meistverkauften Waren werden mit floralen oder Tierdrucken oder Patchworkmuster bedruckt. Und wie	das ist ein Satz auf Spanisch: Las prendas más vendidas se estampan con motivos florales, animales, estampas o arreteras tipo patchwork.	75.781	76.562	93.750	0.781	17.969	20	19	21	20	1	sentence->Satz	sentence->Satz	sentence->Satz		sentence->Satz			1
26	2022.acl-long.268	NA	188.560	195.897	7.337	Um, and as you can see, there are three spans of texts which are actually English words like bestseller, animal print and patchwork.	Wie Sie sehen können, sind hier drei Textpassagen, die eigentlich englische Wörter sind: Bestseller, Animal Print und Patchwork.	Sie sehen können, gibt es drei Passagen von Text, die tatsächlich Englischen Wörtern entsprechen, wie „best seller“, „animal print“ und „patchwork“.	Sie sehen können, gibt es drei Textpassagen, die tatsächlich englische Wörter sind, wie „best seller“, „animal print“ und „patchwork“.	Und wie Sie sehen können, gibt es drei Textabschnitte, die tatsächlich englische Wörter sind, wie bestseller, animal print und patchwork.	92.188	89.062	92.188	-3.125	0.000	21	19	20	18	6	english->Englischen; spans->Passagen; text->Text; texts->Text; word->Wort; words->Wörtern	texts->Text	texts->Text		texts->Text			5
27	2022.acl-long.268	NA	195.977	200.733	4.756	These are the type of spans that we are interested in extracting and detecting.	Bei diesen Passagen wollen wir extrahieren und erkennen.	Das sind die Passagen, die wir extrahieren möchten.	Das sind die Art von Passagen, die wir extrahieren und erkennen möchten.	Das sind die Art von Textabschnitten, die wir extrahieren und erkennen möchten.	71.429	91.071	89.286	19.643	17.857	8	12	12	8	4	detecting->Erkennung; extracting->extrahieren; spans->Passagen; tagging->Tagging	extracting->extrahieren; spans->Passagen	extracting->extrahieren; spans->Passagen		extracting->extrahieren; spans->Passagen			1
28	2022.acl-long.268	NA	202.014	212.026	10.012	There has been previous word on Anglicism detection ah which consists consisted of a CRF model for Anglicism detection on Spanish Newswire.	Es gab früher schon Arbeiten über die Erkennung von Anglizismen. Diese beschäftigten sich mit einem CRF-Modell für die Erkennung von Anglizismen in spanischen Nachrichten.	Es gab früheren Forschung zur Erkennung von Anglizismen, die aus einem CRF-Modell bestand , um Anglizismen in spanischen Nachrichten zu erkennen.	Es gab bereits frühere Arbeiten zur Erkennung von Anglizismen , die aus einem CRF-Modell bestanden, das zur Erkennung von Anglizismen im spanischen Nachrichtenkorpus diente.	Es gab bereits vorherige Arbeiten zur Erkennung von Anglizismen , die aus einem CRF-Modell bestanden, das zur Erkennung von Anglizismen im spanischen Nachrichten-Datenstrom verwendet wurde.	78.363	90.058	90.058	11.696	11.696	21	24	26	25	8	crf->CRF; detecting->Erkennung; detection->Erkennung; model->Modell; newswire->Nachrichten; previous->früheren; word->Wort; words->Wörtern	CRF->CRF; detection->Erkennung; model->Modell; newswire->Nachrichten	CRF->CRF; detection->Erkennung; model->Modell; newswire->Nachrichten		CRF->CRF; detection->Erkennung; model->Modell; newswire->Nachrichten			4
29	2022.acl-long.268	NA	212.468	214.712	2.244	This model achieved an F1 score of eighty six.	Dieses Modell erreichte einen F1-Score von 86.	Dieses Modell erreichte eine F1-Score von achtundachtzig	Dieses Modell erreichte einen F1-Score von achtundachtzig,	Dieses Modell erreichte einen F1-Score von achtundsechzig,	93.478	93.478	93.478	0.000	0.000	8	8	8	8	2	model->Modell; newswire->Nachrichten	model->Modell	model->Modell		model->Modell			2
30	2022.acl-long.268	NA	214.732	220.377	5.645	But there were some limitations both um in the dataset and the modeling approach.	Es gab jedoch einige Einschränkungen sowohl beim Datensatz als auch beim Modellierungsansatz.	sechs,doch es gab einige Einschränkungen sowohl in der Datenmenge als auch im Modellierungsansatz.	doch es gab einige Einschränkungen sowohl in der Datensatz- als auch in der Modellierungsansatz.	doch es gab einige Einschränkungen sowohl in der Datensatz- als auch in der Modellierungsansatz.	92.473	93.548	93.548	1.075	1.075	14	14	14	12	8	approach->Ansatz; data->Daten; dataset->Datensatz; datasets->Datensätzen; model->Modell; modeling->Modellierung; newswire->Nachrichten; propose->vorzuschlagen	dataset->Datensatz; Modeling->Modellierung	Modeling->Modellierung	dataset->Datensatz	dataset->Datensatz; Modeling->Modellierung			1
